cell,family,segments,updates,generation_kwh,noyaw_kwh,yaw_travel_deg,yaw_motion_kwh,net_kwh,gain_percent,maximum_online_seconds,fallback_count,online_eligible,yaw_motion_starts,yaw_motion_reversals,evidence_class,independent_roots_in_this_cell
OC-73090801__T1,T1,1,1,5432.7643957907985,5418.467126974826,80.99498921632767,2.2498608115646572,5430.514534979234,0.222339782120895,67.25034894794226,0,True,81,30,outcome_exposed_root1_full_closed_loop_development_ablation,1
OC-73090801__T2,T2,1,1,7011.812516197917,6983.739188203125,80.9983582496643,2.2499543958240085,7009.562561802093,0.3697642896313802,68.31865717750043,0,True,81,19,outcome_exposed_root1_full_closed_loop_development_ablation,1
OC-73090801__T1,T1,1,2,5447.772456855903,5418.467126974826,118.72113770246506,3.297809380624029,5444.474647475279,0.4799792984067297,99.19513292331249,0,True,81,37,outcome_exposed_root1_full_closed_loop_development_ablation,1
OC-73090801__T2,T2,1,2,7029.36431220139,6983.739188203125,140.01884627342224,3.889412396483951,7025.474899804906,0.5976126896646061,101.52690593060106,0,True,81,19,outcome_exposed_root1_full_closed_loop_development_ablation,1
OC-73090801__T1,T1,1,4,5509.295668091146,5418.467126974826,185.53015440702438,5.153615400195122,5504.142052690951,1.5811653685155358,160.1342248590663,0,True,81,37,outcome_exposed_root1_full_closed_loop_development_ablation,1
OC-73090801__T2,T2,1,4,7051.806846769097,6983.739188203125,210.76752945780754,5.854653596050209,7045.952193173047,0.8908265800505744,160.04830447491258,0,True,81,27,outcome_exposed_root1_full_closed_loop_development_ablation,1
OC-73090801__T1,T1,1,8,5418.467126974826,5418.467126974826,0.0,0.0,5418.467126974826,0.0,290.1262980699539,9,False,0,0,outcome_exposed_root1_full_closed_loop_development_ablation,1
OC-73090801__T2,T2,1,8,6983.739188203125,6983.739188203125,0.0,0.0,6983.739188203125,0.0,286.7920954050496,9,False,0,0,outcome_exposed_root1_full_closed_loop_development_ablation,1
OC-73090801__T1,T1,2,1,5440.816269614583,5418.467126974826,110.98481887578964,3.082911635438601,5437.733357979144,0.35556607713655985,65.90970093011856,0,True,81,42,outcome_exposed_root1_full_closed_loop_development_ablation,1
OC-73090801__T2,T2,2,1,7019.373843894098,6983.739188203125,124.99539041519165,3.472094178199768,7015.901749715898,0.4605349748327159,65.99457121361047,0,True,81,38,outcome_exposed_root1_full_closed_loop_development_ablation,1
OC-73090801__T1,T1,2,2,5463.345051036458,5418.467126974826,161.74084478616714,4.492801244060199,5458.852249792398,0.7453237580149263,97.31431133579463,0,True,81,47,outcome_exposed_root1_full_closed_loop_development_ablation,1
OC-73090801__T1,T1,2,4,5504.786877020833,5418.467126974826,249.78213199973106,6.938392555548085,5497.848484465285,1.4650150241804383,160.15788142662495,0,True,81,38,outcome_exposed_root1_full_closed_loop_development_ablation,1
OC-73090801__T2,T2,2,4,7062.896315640625,6983.739188203125,266.36552679538727,7.39904241098298,7055.497273229642,1.0275023607372091,161.83484794851393,0,True,81,45,outcome_exposed_root1_full_closed_loop_development_ablation,1
OC-73090801__T1,T1,2,8,5418.467126974826,5418.467126974826,0.0,0.0,5418.467126974826,0.0,285.65228523593396,9,False,0,0,outcome_exposed_root1_full_closed_loop_development_ablation,1
OC-73090801__T2,T2,2,8,6983.739188203125,6983.739188203125,0.0,0.0,6983.739188203125,0.0,286.0405954234302,9,False,0,0,outcome_exposed_root1_full_closed_loop_development_ablation,1
OC-73090801__T1,T1,3,1,5432.282568253473,5418.467126974826,112.98433804512024,3.1384538345866733,5429.144114418887,0.1970481170017191,66.12277738191187,0,True,81,54,outcome_exposed_root1_full_closed_loop_development_ablation,1
OC-73090801__T1,T1,3,2,5451.765517139757,5418.467126974826,163.4443477988243,4.540120772189564,5447.225396367568,0.5307454805727918,97.52136217057705,0,True,81,44,outcome_exposed_root1_full_closed_loop_development_ablation,1
OC-73090801__T1,T1,3,4,5490.8911060512155,5418.467126974826,270.5049242377281,7.5140256732702255,5483.377080377945,1.1979394150049893,160.28415194153786,0,True,81,40,outcome_exposed_root1_full_closed_loop_development_ablation,1
OC-73090801__T2,T2,3,4,7056.120395435764,6983.739188203125,261.5341783761978,7.264838288227717,7048.855557147536,0.9323997816872209,160.39200271852314,0,True,81,43,outcome_exposed_root1_full_closed_loop_development_ablation,1
OC-73090801__T1,T1,3,8,5418.467126974826,5418.467126974826,0.0,0.0,5418.467126974826,0.0,285.9138679364696,9,False,0,0,outcome_exposed_root1_full_closed_loop_development_ablation,1
OC-73090801__T2,T2,3,8,6983.739188203125,6983.739188203125,0.0,0.0,6983.739188203125,0.0,285.79694598168135,9,False,0,0,outcome_exposed_root1_full_closed_loop_development_ablation,1
