segments,updates,scenario_count,root_count,net_kwh,noyaw_kwh,gain_percent,yaw_travel_deg,maximum_online_seconds,fallback_count,online_eligible
1,1,2,1,12440.077096781326,12402.206315177951,0.3053551976234026,161.99334746599197,68.31865717750043,0,True
1,2,2,1,12469.949547280186,12402.206315177951,0.546219199880027,258.7399839758873,101.52690593060106,0,True
1,4,2,1,12550.094245863998,12402.206315177951,1.192432434421442,396.2976838648319,160.1342248590663,0,True
1,8,2,1,12402.206315177951,12402.206315177951,0.0,0.0,290.1262980699539,18,False
2,1,2,1,12453.635107695041,12402.206315177951,0.4146745442716204,235.9802092909813,65.99457121361047,0,True
2,2,2,1,12493.174503336344,12402.206315177951,0.7334839128346538,359.8113403916359,97.31431133579463,0,True
2,4,2,1,12553.345757694926,12402.206315177951,1.2186496392340151,516.1476587951183,161.83484794851393,0,True
2,8,2,1,12402.206315177951,12402.206315177951,0.0,0.0,286.0405954234302,18,False
3,1,2,1,12438.071824334738,12402.206315177951,0.2891865225052248,245.97666132450104,66.1871635382995,0,True
3,2,2,1,12465.467382543608,12402.206315177951,0.5100791404206495,346.9623420238495,97.52136217057705,0,True
3,4,2,1,12532.232637525482,12402.206315177951,1.048412831097667,532.0391026139259,160.39200271852314,0,True
3,8,2,1,12402.206315177951,12402.206315177951,0.0,0.0,285.9138679364696,18,False
