family,arm,case,direction_bias_deg,velocity_scale,net_kwh,noyaw_kwh,generation_kwh,motion_kwh,yaw_travel_deg,gain_percent,maximum_online_seconds,fallback_count
T1,MPC,dir_m5,-5.0,1.0,5412.691425676932,5418.467126974826,5417.5948986501735,4.9034729732407465,176.52502703666687,-0.10659290095422769,162.210603620857,0
T1,lookup,dir_m5,-5.0,1.0,5446.384326329861,5418.467126974826,5448.728076329861,2.34375,84.375,0.5152231932174178,1.5187268797308207,0
T1,MPC,dir_m2,-2.0,1.0,5431.722011881188,5418.467126974826,5437.202101993924,5.4800901127358275,197.2832440584898,0.2446242561918499,162.10305160377175,0
T1,lookup,dir_m2,-2.0,1.0,5446.383930400859,5418.467126974826,5448.72768071875,2.343750317891439,84.3750114440918,0.5152158861877032,1.4995222678408027,0
T1,MPC,dir_p2,2.0,1.0,5496.221313057458,5418.467126974826,5501.574787138021,5.3534740805625916,192.7250669002533,1.434984918438409,162.02457237802446,0
T1,lookup,dir_p2,2.0,1.0,5552.94380608935,5418.467126974826,5555.287556195313,2.343750105963813,84.37500381469727,2.4818214443907305,1.5208180909976363,0
T1,MPC,dir_p5,5.0,1.0,5469.055005097303,5418.467126974826,5473.885417644097,4.83041254679362,173.8948516845703,0.9336197292890258,162.12303790729493,0
T1,lookup,dir_p5,5.0,1.0,5552.942823039062,5418.467126974826,5555.286573039062,2.34375,84.375,2.4818033018005003,1.498801851645112,0
T1,MPC,speed_m5,0.0,0.95,5492.263179233817,5418.467126974826,5497.294663605903,5.031484372085995,181.13343739509583,1.3619359595560043,161.8860024549067,0
T1,lookup,speed_m5,0.0,0.95,5552.942823039062,5418.467126974826,5555.286573039062,2.34375,84.375,2.4818033018005003,1.532610290683806,0
T1,MPC,speed_p5,0.0,1.05,5490.309223640974,5418.467126974826,5495.729270559896,5.420046918922001,195.12168908119202,1.3258749196520148,162.23160777240992,0
T1,lookup,speed_p5,0.0,1.05,5554.137005221262,5418.467126974826,5556.902630380208,2.7656251589457193,99.5625057220459,2.503842416447055,1.490067363716662,0
T2,MPC,dir_m5,-5.0,1.0,6936.1371785456995,6983.739188203125,6944.031573565972,7.894395020272997,284.1982207298279,-0.6816120759182254,162.2812120616436,0
T2,lookup,dir_m5,-5.0,1.0,6772.610898458684,6983.739188203125,6784.60452457639,11.993626117706299,431.77054023742676,-3.0231411004162045,1.5079751992598176,0
T2,MPC,dir_m2,-2.0,1.0,6990.926853651323,6983.739188203125,6997.595777847222,6.668924195898904,240.08127105236053,0.10292001540290752,162.28615431301296,0
T2,lookup,dir_m2,-2.0,1.0,6859.004237824409,6983.739188203125,6870.722988248264,11.718750423855251,421.87501525878906,-1.7860768711039143,1.5144529500976205,0
