family,arm,case,time_s,online_seconds,fallback
T1,MPC,dir_m5,0,162.210603620857,False
T1,MPC,dir_m5,200,161.5935945669189,False
T1,MPC,dir_m5,400,161.5253530209884,False
T1,MPC,dir_m5,600,161.48544650804251,False
T1,MPC,dir_m5,800,161.475878149271,False
T1,MPC,dir_m5,1000,161.55956796649843,False
T1,MPC,dir_m5,1200,161.63071389868855,False
T1,MPC,dir_m5,1400,161.5876837261021,False
T1,MPC,dir_m5,1600,161.54769124742597,False
T1,lookup,dir_m5,0,1.5187268797308207,False
T1,lookup,dir_m5,200,1.494765566661954,False
T1,lookup,dir_m5,400,1.4827202325686812,False
T1,lookup,dir_m5,600,1.4741740878671408,False
T1,lookup,dir_m5,800,1.4703660812228918,False
T1,lookup,dir_m5,1000,1.4693310959264636,False
T1,lookup,dir_m5,1200,1.4806274874135852,False
T1,lookup,dir_m5,1400,1.4722766317427158,False
T1,lookup,dir_m5,1600,1.4726622458547354,False
T1,MPC,dir_m2,0,162.10305160377175,False
T1,MPC,dir_m2,200,161.43791963718832,False
T1,MPC,dir_m2,400,161.54128343239427,False
T1,MPC,dir_m2,600,161.53065538592637,False
T1,MPC,dir_m2,800,161.54119421448559,False
T1,MPC,dir_m2,1000,161.54740689974278,False
T1,MPC,dir_m2,1200,161.48904708959162,False
T1,MPC,dir_m2,1400,161.53608226869255,False
T1,MPC,dir_m2,1600,161.53359730076045,False
T1,lookup,dir_m2,0,1.4995222678408027,False
T1,lookup,dir_m2,200,1.4766628118231893,False
T1,lookup,dir_m2,400,1.4697799170389771,False
T1,lookup,dir_m2,600,1.466407916508615,False
T1,lookup,dir_m2,800,1.4749852726235986,False
T1,lookup,dir_m2,1000,1.4629760337993503,False
T1,lookup,dir_m2,1200,1.4666713746264577,False
T1,lookup,dir_m2,1400,1.4971505338326097,False
T1,lookup,dir_m2,1600,1.4734054878354073,False
T1,MPC,dir_p2,0,162.02457237802446,False
T1,MPC,dir_p2,200,161.43824336864054,False
T1,MPC,dir_p2,400,161.4424659255892,False
T1,MPC,dir_p2,600,161.40708025638014,False
T1,MPC,dir_p2,800,161.48288174252957,False
T1,MPC,dir_p2,1000,161.3766520805657,False
T1,MPC,dir_p2,1200,161.43528320081532,False
T1,MPC,dir_p2,1400,161.3897150158882,False
T1,MPC,dir_p2,1600,161.4220291087404,False
T1,lookup,dir_p2,0,1.5208180909976363,False
T1,lookup,dir_p2,200,1.489358676597476,False
T1,lookup,dir_p2,400,1.477617347612977,False
T1,lookup,dir_p2,600,1.4765271162614226,False
T1,lookup,dir_p2,800,1.4770884858444333,False
T1,lookup,dir_p2,1000,1.4819605201482773,False
T1,lookup,dir_p2,1200,1.4752406915649772,False
T1,lookup,dir_p2,1400,1.4879920799285173,False
T1,lookup,dir_p2,1600,1.4816182618960738,False
T1,MPC,dir_p5,0,162.12303790729493,False
T1,MPC,dir_p5,200,161.38407078851014,False
T1,MPC,dir_p5,400,161.45265322644264,False
T1,MPC,dir_p5,600,161.39878090564162,False
T1,MPC,dir_p5,800,161.39592054951936,False
T1,MPC,dir_p5,1000,161.43119697459042,False
T1,MPC,dir_p5,1200,161.39841995667666,False
T1,MPC,dir_p5,1400,161.40481545962393,False
T1,MPC,dir_p5,1600,161.43408667761832,False
T1,lookup,dir_p5,0,1.4937800746411085,False
T1,lookup,dir_p5,200,1.4738575164228678,False
T1,lookup,dir_p5,400,1.4737314209342003,False
T1,lookup,dir_p5,600,1.46781150624156,False
T1,lookup,dir_p5,800,1.4676804449409246,False
T1,lookup,dir_p5,1000,1.4744296884164214,False
T1,lookup,dir_p5,1200,1.498801851645112,False
T1,lookup,dir_p5,1400,1.4959039269015193,False
T1,lookup,dir_p5,1600,1.4865838857367635,False
T1,MPC,speed_m5,0,161.8860024549067,False
T1,MPC,speed_m5,200,161.2273338790983,False
T1,MPC,speed_m5,400,161.43244899623096,False
T1,MPC,speed_m5,600,161.39173434395343,False
T1,MPC,speed_m5,800,161.44960182812065,False
T1,MPC,speed_m5,1000,161.3321061367169,False
T1,MPC,speed_m5,1200,161.38785149063915,False
