family,arm,case,direction_bias_deg,velocity_scale,net_kwh,noyaw_kwh,generation_kwh,motion_kwh,yaw_travel_deg,gain_percent,maximum_online_seconds,fallback_count
T1,MPC,dir_m5,-5.0,1.0,5412.691425676932,5418.467126974826,5417.5948986501735,4.9034729732407465,176.52502703666687,-0.10659290095422769,162.210603620857,0
T1,lookup,dir_m5,-5.0,1.0,5446.384326329861,5418.467126974826,5448.728076329861,2.34375,84.375,0.5152231932174178,1.5187268797308207,0
T1,MPC,dir_m2,-2.0,1.0,5431.722011881188,5418.467126974826,5437.202101993924,5.4800901127358275,197.2832440584898,0.2446242561918499,162.10305160377175,0
T1,lookup,dir_m2,-2.0,1.0,5446.383930400859,5418.467126974826,5448.72768071875,2.343750317891439,84.3750114440918,0.5152158861877032,1.4995222678408027,0
T1,MPC,dir_p2,2.0,1.0,5496.221313057458,5418.467126974826,5501.574787138021,5.3534740805625916,192.7250669002533,1.434984918438409,162.02457237802446,0
T1,lookup,dir_p2,2.0,1.0,5552.94380608935,5418.467126974826,5555.287556195313,2.343750105963813,84.37500381469727,2.4818214443907305,1.5208180909976363,0
T1,MPC,dir_p5,5.0,1.0,5469.055005097303,5418.467126974826,5473.885417644097,4.83041254679362,173.8948516845703,0.9336197292890258,162.12303790729493,0
T1,lookup,dir_p5,5.0,1.0,5552.942823039062,5418.467126974826,5555.286573039062,2.34375,84.375,2.4818033018005003,1.498801851645112,0
T1,MPC,speed_m5,0.0,0.95,5492.263179233817,5418.467126974826,5497.294663605903,5.031484372085995,181.13343739509583,1.3619359595560043,161.8860024549067,0
T1,lookup,speed_m5,0.0,0.95,5552.942823039062,5418.467126974826,5555.286573039062,2.34375,84.375,2.4818033018005003,1.532610290683806,0
T1,MPC,speed_p5,0.0,1.05,5490.309223640974,5418.467126974826,5495.729270559896,5.420046918922001,195.12168908119202,1.3258749196520148,162.23160777240992,0
T1,lookup,speed_p5,0.0,1.05,5554.137005221262,5418.467126974826,5556.902630380208,2.7656251589457193,99.5625057220459,2.503842416447055,1.490067363716662,0
T2,MPC,dir_m5,-5.0,1.0,6936.1371785456995,6983.739188203125,6944.031573565972,7.894395020272997,284.1982207298279,-0.6816120759182254,162.2812120616436,0
T2,lookup,dir_m5,-5.0,1.0,6772.610898458684,6983.739188203125,6784.60452457639,11.993626117706299,431.77054023742676,-3.0231411004162045,1.5079751992598176,0
T2,MPC,dir_m2,-2.0,1.0,6990.926853651323,6983.739188203125,6997.595777847222,6.668924195898904,240.08127105236053,0.10292001540290752,162.28615431301296,0
T2,lookup,dir_m2,-2.0,1.0,6859.004237824409,6983.739188203125,6870.722988248264,11.718750423855251,421.87501525878906,-1.7860768711039143,1.5144529500976205,0
T2,MPC,dir_p2,2.0,1.0,6998.802039118822,6983.739188203125,7005.810608895834,7.008569777011871,252.30851197242737,0.21568461406951123,162.280338563025,0
T2,lookup,dir_p2,2.0,1.0,7012.920944070411,6983.739188203125,7019.327194270833,6.40625020042267,230.6250072152161,0.41785288769917717,1.5220290925353765,0
T2,MPC,dir_p5,5.0,1.0,6931.185717327976,6983.739188203125,6938.636287586805,7.4505702588293286,268.22052931785583,-0.7525119346369902,162.22788212727755,0
T2,lookup,dir_p5,5.0,1.0,7026.859178385416,6983.739188203125,7033.890428385416,7.03125,253.125,0.6174341426599783,1.492796896956861,0
T2,MPC,speed_m5,0.0,0.95,7044.629798638406,6983.739188203125,7050.618808887153,5.989010248747137,215.60436895489693,0.8718912432774895,162.16773694753647,0
T2,lookup,speed_m5,0.0,0.95,6966.27850374847,6983.739188203125,6970.966004145835,4.687500397364299,168.75001430511475,-0.25001913708561085,1.527661264874041,0
T2,MPC,speed_p5,0.0,1.05,7040.723417449378,6983.739188203125,7046.189960206598,5.466542757219738,196.79553925991058,0.8159558613315632,162.3069280590862,0
T2,lookup,speed_p5,0.0,1.05,6966.278967788399,6983.739188203125,6970.966468185764,4.687500397364299,168.75001430511475,-0.2500124925085889,1.489225011318922,0
