family,arm,case,direction_bias_deg,velocity_scale,net_kwh,noyaw_kwh,generation_kwh,motion_kwh,yaw_travel_deg,gain_percent,maximum_online_seconds,fallback_count
T1,MPC,dir_m5,-5.0,1.0,5412.691425676932,5418.467126974826,5417.5948986501735,4.9034729732407465,176.52502703666687,-0.10659290095422769,162.210603620857,0
T1,lookup,dir_m5,-5.0,1.0,5446.384326329861,5418.467126974826,5448.728076329861,2.34375,84.375,0.5152231932174178,1.5187268797308207,0
T1,MPC,dir_m2,-2.0,1.0,5431.722011881188,5418.467126974826,5437.202101993924,5.4800901127358275,197.2832440584898,0.2446242561918499,162.10305160377175,0
T1,lookup,dir_m2,-2.0,1.0,5446.383930400859,5418.467126974826,5448.72768071875,2.343750317891439,84.3750114440918,0.5152158861877032,1.4995222678408027,0
T1,MPC,dir_p2,2.0,1.0,5496.221313057458,5418.467126974826,5501.574787138021,5.3534740805625916,192.7250669002533,1.434984918438409,162.02457237802446,0
T1,lookup,dir_p2,2.0,1.0,5552.94380608935,5418.467126974826,5555.287556195313,2.343750105963813,84.37500381469727,2.4818214443907305,1.5208180909976363,0
T1,MPC,dir_p5,5.0,1.0,5469.055005097303,5418.467126974826,5473.885417644097,4.83041254679362,173.8948516845703,0.9336197292890258,162.12303790729493,0
T1,lookup,dir_p5,5.0,1.0,5552.942823039062,5418.467126974826,5555.286573039062,2.34375,84.375,2.4818033018005003,1.498801851645112,0
T1,MPC,speed_m5,0.0,0.95,5492.263179233817,5418.467126974826,5497.294663605903,5.031484372085995,181.13343739509583,1.3619359595560043,161.8860024549067,0
T1,lookup,speed_m5,0.0,0.95,5552.942823039062,5418.467126974826,5555.286573039062,2.34375,84.375,2.4818033018005003,1.532610290683806,0
