segments,updates,family,repeat,online_seconds,deadline_seconds,fallback_reasons
1,4,T1,0,159.87557758390903,180,
1,4,T1,1,159.8227698514238,180,
1,4,T1,2,159.80656750313938,180,
1,4,T2,0,159.96270214021206,180,
1,4,T2,1,159.75000974629074,180,
1,4,T2,2,159.7402676520869,180,
2,4,T1,0,160.197341109626,180,
2,4,T1,1,159.85433377418667,180,
2,4,T1,2,159.8748856652528,180,
2,4,T2,0,160.12309208884835,180,
2,4,T2,1,159.7698549479246,180,
2,4,T2,2,159.82615506928414,180,
3,4,T1,0,160.27238973230124,180,
3,4,T1,1,159.85113307926804,180,
3,4,T1,2,159.8448907630518,180,
3,4,T2,0,160.4332266766578,180,
3,4,T2,1,160.03733605332673,180,
3,4,T2,2,159.94793239794672,180,
1,8,T1,0,286.2262226520106,180,deadline
1,8,T1,1,285.85045860521495,180,deadline
1,8,T1,2,285.8279960975051,180,deadline
2,8,T1,0,285.7110213339329,180,deadline
2,8,T1,1,285.46037861611694,180,deadline
2,8,T1,2,285.4402668904513,180,deadline
3,8,T1,0,286.2602074025199,180,deadline
3,8,T1,1,285.8031781986356,180,deadline
3,8,T1,2,285.5954184588045,180,deadline
