scenario,issue_s,time_s,row1_gap_kwh,row2_gap_kwh,row3_gap_kwh,total_gap_kwh
T1,400,0,0.0,0.0,0.0,0.0
T1,400,20,-0.18411210416666712,0.11108207291666661,-0.0561800781249997,-0.12921010937500021
T1,400,40,-0.4181608472222287,0.0922859583333353,0.20248331249999918,-0.1233915763888942
T1,400,60,-0.6466075069444521,0.09560772395832817,0.3459243194444408,-0.20507546354168316
T1,400,80,-0.8451164722222195,-0.15153785937500341,0.39800563888888796,-0.598648692708335
T1,400,100,-0.9368467083333485,-0.1250167065972203,0.22874296354166468,-0.8331204513889041
T1,400,120,-1.0184779791666614,0.5168248107638949,0.08526714756944287,-0.41638602083332366
T1,400,140,-1.2919159930555608,1.5106961701388926,0.2481224357638805,0.46690261284721224
T1,400,160,-1.4668869722222198,2.1281131076388853,0.7758663923611024,1.437092527777768
T1,400,180,-1.4954017083333042,2.9732398854166693,1.603693026041661,3.081531203125026
T1,400,200,-1.5073808680555913,2.9642383472222242,2.7556774982638963,4.212534977430529
T1,400,220,-1.7689203333332983,3.162708078124986,2.9736437942708385,4.367431539062526
T1,400,240,-2.0576217361110736,3.6152488854166585,4.131729432291664,5.689356581597249
T1,400,260,-2.2541969999999765,3.911041592013884,5.260220253472223,6.917064845486131
T1,400,280,-2.5500997777778167,3.945343102430556,7.310062159722218,8.705305484374957
T1,400,300,-2.747486048611094,3.6373442968749927,7.924267272569452,8.81412552083335
T1,400,320,-3.036757430555525,3.972258982638877,9.51028467187502,10.445786223958372
T1,400,340,-3.4040218680555796,4.779438994791658,11.141930987847239,12.517348114583317
T1,400,360,-3.6790427083333554,5.794953453125,12.997439477430582,15.113350222222227
T1,400,380,-3.8265741736110783,6.331014416666672,15.040176383680553,17.544616626736147
T1,400,400,-3.939563979166593,7.205340236111098,16.215105478298632,19.480881735243138
T1,400,420,-4.109626923611046,7.785409958333332,17.27054881640626,20.946331851128548
T1,400,440,-4.323663312499946,8.69253177256946,19.14953317708335,23.518401637152863
T1,400,460,-4.328346062499946,9.026353524305598,19.77176048654514,24.469767948350793
T1,400,480,-4.277090791666609,8.907223432291651,20.480019159722254,25.110151800347296
T1,1200,0,0.0,0.0,0.0,0.0
T1,1200,20,-0.058846371527778274,-0.003907742187499785,-0.14379520312500071,-0.20654931684027877
T1,1200,40,-0.09752695138888434,-0.1613913932291675,-0.008574989583334691,-0.26749333420138655
T1,1200,60,-0.18633509374999768,-0.18788333333333185,0.08824869618055597,-0.28596973090277356
T1,1200,80,-0.16601838194444696,-0.11468180729166466,0.22769764322916686,-0.05300254600694476
T1,1200,100,-0.16873105902778107,-0.041623221354167406,0.2885606848958364,0.07820640451388794
T1,1200,120,-0.2912733194444428,0.08159780381944337,0.33408913975693544,0.12441362413193602
T1,1200,140,-0.2905689687499944,0.2957074479166639,0.5973584574652744,0.6024969366319439
T1,1200,160,-0.28806853472222116,0.45374633333333136,0.909288750868054,1.0749665494791643
T1,1200,180,-0.290357899305576,0.647092769965278,1.368109752604159,1.724844623263861
T1,1200,200,-0.4310387916666656,0.9458892178819411,1.830116332465277,2.3449667586805525
T1,1200,220,-0.4265343541666624,1.2862953142361153,1.6097123723958227,2.4694733324652756
T1,1200,240,-0.4926366284722121,1.5549392421875012,1.7144542890625019,2.776756902777791
T1,1200,260,-0.5130517256944671,1.6987358463541753,4.618315507812511,5.803999628472219
T1,1200,280,-0.45996815277777614,1.7514577118055499,7.534350768229196,8.82584032725697
T1,1200,300,-0.41960627777780246,1.7305992951388944,9.596591332465294,10.907584349826386
T1,1200,320,-0.44527839930555047,1.6776107187499854,11.828591945312517,13.060924264756952
T1,1200,340,-0.45674741666667273,1.885393067708339,14.26256717447918,15.691212825520847
T1,1200,360,-0.540840565972232,2.1545632118055593,16.70373565885418,18.317458304687506
T1,1200,380,-0.541803576388844,2.3671359539930386,18.722630797743086,20.54796317534728
T1,1200,400,-0.48126429166666185,2.5045996015624894,21.20881005989586,23.232145369791688
T1,1200,420,-0.4869013680555696,2.6627229071180665,23.805079217881953,25.98090075694445
T1,1200,440,-0.32301445486108094,2.9328672256944515,26.28875203819448,28.89860480902785
T1,1200,460,-0.28389672916669895,3.2865794999999984,29.327387902777772,32.330070673611075
T1,1200,480,-0.4127036666667294,3.481897592013887,31.99851304600695,35.067706971354106
T2,400,0,0.0,0.0,0.0,0.0
T2,400,20,0.6217433888888912,0.3423480069444449,0.010624263888890262,0.9747156597222264
T2,400,40,1.1637163819444396,0.5381123836805521,0.008369904513889637,1.7101986701388814
T2,400,60,1.8478344722222282,0.6822037378472219,0.03578296527777791,2.565821175347228
T2,400,80,2.567700875000007,0.9642863750000057,0.16327753819444268,3.6952647881944554
T2,400,100,3.286328305555543,1.3793145625000047,0.2887122274305529,4.9543550954861
T2,400,120,4.105846788194448,1.5782735000000017,0.530387218749997,6.214507506944447
T2,400,140,4.602651114583324,1.2976023593750021,2.091126635416675,7.991380109375001
T2,400,160,5.068469940972214,1.2812298298611289,2.884777513888892,9.234477284722235
T2,400,180,5.7176288576389,1.4100096927083428,3.3775082395833422,10.505146789930585
T2,400,200,6.368976968750005,2.0315799166666544,3.688538406250032,12.089095291666691
T2,400,220,7.0799384618055825,2.422232946180543,4.068189993055576,13.570361401041701
T2,400,240,7.5388274895833405,3.025259104166679,6.438050458333343,17.002137052083363
T2,400,260,8.024755635416668,3.5129721076388805,9.567181373263907,21.104909116319455
T2,400,280,8.586350517361097,3.496498489583331,11.642561986111126,23.725410993055554
T2,400,300,9.133747697916704,4.11073668055554,14.532894435763872,27.777378814236116
T2,400,320,9.64143795486109,4.478647744791701,16.430458991319433,30.550544690972224
T2,400,340,10.20412606597219,4.650067034722213,18.15372018836804,33.007913289062444
T2,400,360,10.764354170138915,4.909803460069462,20.606720611111122,36.2808782413195
T2,400,380,11.407612524305534,5.189057680555578,22.345016049479135,38.94168625434025
T2,400,400,12.146199454861147,5.058600013888878,24.0464873020833,41.251286770833325
T2,400,420,12.684146364583313,5.084185616319452,25.67575424218743,43.444086223090196
T2,400,440,13.481707899305519,5.4723764999999815,26.49836806684023,45.45245246614573
T2,400,460,14.089120989583336,5.856626286458365,27.752365901909698,47.6981131779514
T2,400,480,14.769828281250028,5.964368725694477,29.801344675781216,50.53554168272572
T2,1200,0,0.0,0.0,0.0,0.0
T2,1200,20,-0.058916020833335914,-0.35168255034722185,-0.03380224305555668,-0.44440081423611444
T2,1200,40,-0.09627393750000124,-0.61210942361111,0.028403555555559734,-0.6799798055555515
T2,1200,60,-0.16148036111110997,-0.9867275763888852,0.04491782291666624,-1.103290114583329
T2,1200,80,-0.26476511111111733,-1.3045924739583352,0.0531445902777854,-1.5162129947916672
T2,1200,100,-0.36049292361111185,-1.575994894097219,0.09426688888888535,-1.8422209288194455
T2,1200,120,-0.31543893749999796,-1.6059501527777797,0.1341131562499953,-1.7872759340277824
T2,1200,140,-0.38077445138888066,-0.9859402795138834,0.3707956197916644,-0.9959191111110997
T2,1200,160,-0.5144501111111026,-0.5396037031249996,1.0590717708333415,0.005017956597239248
T2,1200,180,-0.5949034999999867,0.011567423611108296,2.2579508993055413,1.6746148229166629
T2,1200,200,-0.41644003472221414,0.6409647760416668,3.511594263888867,3.7361190052083195
T2,1200,220,-0.5176020138889044,1.3639168715277954,4.28326849305553,5.129583350694421
T2,1200,240,-0.4783998055555543,1.8357305798611065,4.943622333333344,6.300953107638897
T2,1200,260,-0.5216721215277715,2.3968853072916616,5.107936694444433,6.983149880208323
T2,1200,280,-0.6549555972222123,3.5585275312500073,6.297782220486113,9.201354154513908
T2,1200,300,-0.8101445347221983,4.484219265625008,9.161131772569448,12.835206503472257
T2,1200,320,-0.8712479722222497,4.3955074843749955,12.942080446180569,16.466339958333315
T2,1200,340,-0.8754523263888814,5.122416376736126,18.484226970486105,22.73119102083335
T2,1200,360,-0.7983907083333719,6.010690529513859,23.913254064236142,29.12555388541663
T2,1200,380,-0.917735145833376,6.081944395833354,27.72329295659725,32.887502206597226
