family,segments,component,FP32_MW_per_deg,FP64_MW_per_deg,absolute_error_MW_per_deg
T1,2,1,0.0008540436392650008,0.0008593795087607548,5.335869495754018e-06
T1,2,2,-0.002960873069241643,-0.0029607603535664975,1.1271567514547706e-07
T1,2,3,0.004684182349592447,0.004685215478151878,1.0331285594305725e-06
T1,2,4,0.0001000609336188063,0.00010097684439985114,9.159107810448352e-07
T1,2,5,-0.0010927094845101237,-0.001092067133553073,6.423509570506643e-07
T1,2,6,0.0008293634164147079,0.0008300231223943533,6.597059796453709e-07
T1,2,7,-0.0001447054382879287,-0.00014469740311578733,8.03517214136712e-09
T1,2,8,-0.0004155819769948721,-0.00041559038199518816,8.405000316070478e-09
T1,2,9,-0.0005554237286560237,-0.0005553838560504172,3.987260560655084e-08
T1,2,10,0.002002296270802617,0.0020034749684060384,1.1786976034213262e-06
T1,2,11,0.00022646653815172613,0.00022911109364325493,2.644555491528803e-06
T1,2,12,0.00027894883533008397,0.0002819262217051182,2.9773863750342166e-06
T1,2,13,0.00153159920591861,0.001532445576883022,8.463709644118429e-07
T1,2,14,0.00035800255136564374,0.00035805500036647294,5.244900082919824e-08
T1,2,15,0.0012121724430471659,0.0012102998431377967,1.8725999093691277e-06
T1,2,16,0.0005168910138309002,0.0005168817928792985,9.220951601666277e-09
T1,2,17,0.0007430320256389678,0.0007432779611627411,2.459355237733121e-07
T1,2,18,0.000304575078189373,0.0003044719012841329,1.0317690524012674e-07
T1,3,1,0.0008519439143128693,0.0008573167045245167,5.3727902116474345e-06
T1,3,2,-0.0029587536118924618,-0.0029586957203134156,5.7891579046190356e-08
T1,3,3,0.004694811068475246,0.004695820048417285,1.0089799420383641e-06
T1,3,4,0.00010025687515735626,0.0001011750358679026,9.18160710546332e-07
T1,3,5,-0.0010926356771960855,-0.0010919920954248128,6.435817712726905e-07
T1,3,6,0.0008293084101751447,0.000829966179808022,6.577696328773303e-07
T1,3,7,-0.00014468334848061204,-0.00014467525979462847,8.088685983569056e-09
T1,3,8,-0.0004155837232246995,-0.00041559214337830565,8.420153606151538e-09
T1,3,9,-0.0005554399685934186,-0.0005553999209573924,4.004763602617929e-08
T1,3,10,0.002209224971011281,0.0022104307857505894,1.2058147393083536e-06
T1,3,11,0.0003465095651336014,0.00034923319486323287,2.7236297296314447e-06
