family,segments,precision,step_deg,AD_MW_per_deg,FD_MW_per_deg,required,pointwise_pass
T1,2,FP32; host64 energy accumulation,0.01,0.0004327855713199824,0.0003181105671323792,False,False
T1,2,FP32; host64 energy accumulation,0.03,0.0004327855713199824,0.00045497968968651514,True,True
T1,2,FP32; host64 energy accumulation,0.1,0.0004327855713199824,0.00042252308882773093,True,True
T1,2,FP32; host64 energy accumulation,0.3,0.0004327855713199824,0.00043198689996396905,True,True
T1,2,Native FP64,0.01,0.00043569862146012174,0.00043569864631720634,False,True
T1,2,Native FP64,0.03,0.00043569862146012174,0.000435992711563434,True,True
T1,2,Native FP64,0.1,0.00043569862146012174,0.0004325870597643444,True,True
T1,2,Native FP64,0.3,0.00043569862146012174,0.0004327101511651203,True,True
T1,3,FP32; host64 energy accumulation,0.01,0.0004364080377854407,0.0003107004109104139,False,False
T1,3,FP32; host64 energy accumulation,0.03,0.0004364080377854407,0.000454665019529917,True,True
T1,3,FP32; host64 energy accumulation,0.1,0.0004364080377854407,0.00042419183882813627,True,True
T1,3,FP32; host64 energy accumulation,0.3,0.0004364080377854407,0.0004363936273913775,True,True
T1,3,Native FP64,0.01,0.0004393076226754441,0.00043930764519473087,False,True
T1,3,Native FP64,0.03,0.0004393076226754441,0.00043960173812251924,True,True
T1,3,Native FP64,0.1,0.0004393076226754441,0.0004361555890231017,True,True
T1,3,Native FP64,0.3,0.0004393076226754441,0.00043627558359441804,True,True
T2,2,FP32; host64 energy accumulation,0.01,0.0009741763351485133,0.0008956756712308334,False,False
T2,2,FP32; host64 energy accumulation,0.03,0.0009741763351485133,0.000920342211389406,True,False
T2,2,FP32; host64 energy accumulation,0.1,0.0009741763351485133,0.000974404176083965,True,True
T2,2,FP32; host64 energy accumulation,0.3,0.0009741763351485133,0.000969591164287446,True,True
T2,2,Native FP64,0.01,0.0009730374113546536,0.0009730430353904751,False,True
T2,2,Native FP64,0.03,0.0009730374113546536,0.0009702514124872627,True,True
T2,2,Native FP64,0.1,0.0009730374113546536,0.0009657548268560134,True,True
T2,2,Native FP64,0.3,0.0009730374113546536,0.000970308837994575,True,True
T2,3,FP32; host64 energy accumulation,0.01,0.0009665507823228836,0.0008981737181557037,False,False
T2,3,FP32; host64 energy accumulation,0.03,0.0009665507823228836,0.0009078337478503803,True,False
T2,3,FP32; host64 energy accumulation,0.1,0.0009665507823228836,0.0009682637463814814,True,True
T2,3,FP32; host64 energy accumulation,0.3,0.0009665507823228836,0.0009625290549071982,True,True
T2,3,Native FP64,0.01,0.000965412398401831,0.0009654179690343767,False,True
T2,3,Native FP64,0.03,0.000965412398401831,0.0009626243485290805,True,True
T2,3,Native FP64,0.1,0.000965412398401831,0.0009581348213316687,True,True
T2,3,Native FP64,0.3,0.000965412398401831,0.0009626545818797183,True,True
