family,time_s,arm,maximum_relative_error
T1,20,MPC,6.534175120347562e-08
T1,20,NOYAW,6.534175120347562e-08
T1,40,MPC,6.175297769324077e-08
T1,40,NOYAW,6.175297769324077e-08
T1,60,MPC,7.839966475177647e-08
T1,60,NOYAW,7.839966475177647e-08
T1,80,MPC,9.58865566870602e-08
T1,80,NOYAW,9.58865566870602e-08
T1,100,MPC,6.773451134978172e-08
T1,100,NOYAW,6.773451134978172e-08
T1,120,MPC,1.075858434163893e-07
T1,120,NOYAW,1.075858434163893e-07
T1,140,MPC,8.623894829091319e-08
T1,140,NOYAW,8.623894829091319e-08
T1,160,MPC,7.234843757401224e-08
T1,160,NOYAW,7.234843757401224e-08
T1,180,MPC,5.842199115110184e-08
T1,180,NOYAW,5.842199115110184e-08
T1,200,MPC,2.902709555545019e-08
T1,200,NOYAW,6.503236060831862e-08
T1,220,MPC,9.697032983575559e-08
T1,220,NOYAW,5.369328861302692e-08
T1,240,MPC,7.959389963715131e-08
T1,240,NOYAW,8.202674238740872e-08
T1,260,MPC,1.4991359914212996e-07
T1,260,NOYAW,7.600598377161319e-08
T1,280,MPC,6.821932852631674e-08
T1,280,NOYAW,5.857112846034502e-08
T1,300,MPC,9.337082370124732e-08
T1,300,NOYAW,1.0641989168975491e-07
T1,320,MPC,7.211988676349863e-08
T1,320,NOYAW,5.828458350797832e-08
T1,340,MPC,8.436114061389498e-08
T1,340,NOYAW,7.585518309966463e-08
T1,360,MPC,6.26790664785957e-08
T1,360,NOYAW,8.05317098046489e-08
T1,380,MPC,1.1328385376647817e-07
T1,380,NOYAW,7.991576457151796e-08
T1,400,MPC,9.498589455448335e-08
T1,400,NOYAW,9.352111952335137e-08
T1,420,MPC,1.1516863620674365e-07
T1,420,NOYAW,9.869882985992266e-08
T1,440,MPC,1.2036871042889764e-07
T1,440,NOYAW,1.06215924686464e-07
T1,460,MPC,7.090471527628164e-08
T1,460,NOYAW,9.306866526347782e-08
T1,480,MPC,7.331275314812349e-08
T1,480,NOYAW,3.8695520024890404e-08
T1,500,MPC,5.996438099714009e-08
T1,500,NOYAW,9.717157356566203e-08
T1,520,MPC,1.2626720392772726e-07
T1,520,NOYAW,9.645288418971657e-08
T1,540,MPC,1.0840615156414408e-07
T1,540,NOYAW,9.644236729932812e-08
T1,560,MPC,8.162390483034923e-08
T1,560,NOYAW,7.323959981058647e-08
T1,580,MPC,3.525360174545008e-08
T1,580,NOYAW,8.208070422999011e-08
T1,600,MPC,7.920537540527656e-08
T1,600,NOYAW,6.96827254789468e-08
T1,620,MPC,1.0475850536685204e-07
T1,620,NOYAW,7.96918670496359e-08
T1,640,MPC,6.589511457063838e-08
T1,640,NOYAW,5.832094247956476e-08
T1,660,MPC,1.0641325424205325e-07
T1,660,NOYAW,5.2454977048887544e-08
T1,680,MPC,9.429407184456535e-08
T1,680,NOYAW,5.674883991365109e-08
T1,700,MPC,8.59721945907314e-08
T1,700,NOYAW,9.624514890756436e-08
T1,720,MPC,7.139164817140955e-08
T1,720,NOYAW,1.0377504729654879e-07
T1,740,MPC,7.424292148782437e-08
T1,740,NOYAW,5.67709014140551e-08
T1,760,MPC,1.1231564440897391e-07
T1,760,NOYAW,8.174593705679911e-08
T1,780,MPC,9.208260238992306e-08
T1,780,NOYAW,1.0122265170773185e-07
T1,800,MPC,1.1632867018044924e-07
T1,800,NOYAW,8.687970456833419e-08
T1,820,MPC,3.408461025223501e-08
T1,820,NOYAW,6.903668491323448e-08
T1,840,MPC,4.19179961490755e-08
T1,840,NOYAW,6.439990229455513e-08
T1,860,MPC,4.919370879470859e-08
T1,860,NOYAW,6.399941464515386e-08
T1,880,MPC,6.332029931637443e-08
T1,880,NOYAW,9.153012233269534e-08
T1,900,MPC,9.80519994995722e-08
T1,900,NOYAW,9.88400605229918e-08
T1,920,MPC,9.990399810877572e-08
T1,920,NOYAW,7.126157389297852e-08
T1,940,MPC,6.295562420376167e-08
T1,940,NOYAW,8.078526693439307e-08
T1,960,MPC,8.325989805094286e-08
T1,960,NOYAW,7.980163601393386e-08
T1,980,MPC,7.216768461809363e-08
T1,980,NOYAW,5.8133396329696936e-08
T1,1000,MPC,6.187107656261279e-08
T1,1000,NOYAW,7.399342205571478e-08
T1,1020,MPC,1.1248910394798182e-07
T1,1020,NOYAW,7.047923904489515e-08
T1,1040,MPC,7.450939036748798e-08
T1,1040,NOYAW,9.718601522575413e-08
T1,1060,MPC,8.374145516365577e-08
T1,1060,NOYAW,9.202340550711236e-08
T1,1080,MPC,1.0116182362374155e-07
T1,1080,NOYAW,7.22320091475971e-08
T1,1100,MPC,8.865472118266211e-08
T1,1100,NOYAW,6.265398322677977e-08
T1,1120,MPC,8.45055602547653e-08
T1,1120,NOYAW,1.1785228458864649e-07
T1,1140,MPC,8.634780603637036e-08
T1,1140,NOYAW,1.0212704532083319e-07
T1,1160,MPC,4.318239444865124e-08
T1,1160,NOYAW,7.249547967196566e-08
T1,1180,MPC,1.0354116435183771e-07
T1,1180,NOYAW,9.886968894212533e-08
T1,1200,MPC,6.393225297764005e-08
T1,1200,NOYAW,4.888204038066768e-08
T1,1220,MPC,8.071532106226395e-08
T1,1220,NOYAW,9.055326297390005e-08
T1,1240,MPC,5.2446692141391406e-08
T1,1240,NOYAW,4.888906820576499e-08
T1,1260,MPC,6.993064603734819e-08
T1,1260,NOYAW,7.556266112742004e-08
T1,1280,MPC,6.434554551550191e-08
T1,1280,NOYAW,5.103092798736316e-08
T1,1300,MPC,6.656969201183007e-08
T1,1300,NOYAW,5.098456318548357e-08
T1,1320,MPC,9.303173387268666e-08
T1,1320,NOYAW,5.562235765864148e-08
T1,1340,MPC,5.029614965314935e-08
T1,1340,NOYAW,5.267136392351913e-08
T1,1360,MPC,1.2790819047063304e-07
T1,1360,NOYAW,1.0135518356450779e-07
T1,1380,MPC,5.854712386849053e-08
T1,1380,NOYAW,7.640716090602714e-08
T1,1400,MPC,1.0081592963976577e-07
T1,1400,NOYAW,1.4153214835728907e-07
T1,1420,MPC,1.011065374929571e-07
T1,1420,NOYAW,7.971209369649883e-08
T1,1440,MPC,6.54021476466717e-08
T1,1440,NOYAW,1.0028074263695495e-07
T1,1460,MPC,7.895924037353279e-08
T1,1460,NOYAW,6.189756694063691e-08
T1,1480,MPC,6.366130762148772e-08
T1,1480,NOYAW,6.797562659608539e-08
T1,1500,MPC,8.677443930596005e-08
T1,1500,NOYAW,9.144977967554235e-08
T1,1520,MPC,5.9378215564104524e-08
T1,1520,NOYAW,6.880722748814599e-08
T1,1540,MPC,1.080591163557632e-07
T1,1540,NOYAW,8.040560947136441e-08
T1,1560,MPC,9.551891117345145e-08
T1,1560,NOYAW,9.877732883860804e-08
T1,1580,MPC,8.361480042352166e-08
T1,1580,NOYAW,4.962700101099756e-08
T1,1600,MPC,8.573918662729373e-08
T1,1600,NOYAW,8.643038588495376e-08
T1,1620,MPC,8.825853323254547e-08
T1,1620,NOYAW,1.3500317089660575e-07
T1,1640,MPC,6.884081604845463e-08
T1,1640,NOYAW,1.0166514526808067e-07
T1,1660,MPC,8.750689854937121e-08
T1,1660,NOYAW,4.250142478989084e-08
T1,1680,MPC,1.0270394188685023e-07
T1,1680,NOYAW,6.686510900375292e-08
T1,1700,MPC,7.481796482563125e-08
T1,1700,NOYAW,7.050933727253796e-08
T1,1720,MPC,3.8590287553470564e-08
T1,1720,NOYAW,7.387583012466026e-08
T1,1740,MPC,9.630255530620851e-08
T1,1740,NOYAW,7.15958842680321e-08
T1,1760,MPC,8.165516017730436e-08
T1,1760,NOYAW,8.324738755291453e-08
T1,1780,MPC,7.012180653962572e-08
T1,1780,NOYAW,6.143064422687248e-08
T1,1800,MPC,4.865784172262788e-08
T1,1800,NOYAW,8.21225150868601e-08
T1,1820,MPC,9.103909708902958e-08
T1,1820,NOYAW,8.084366972345726e-08
T1,1840,MPC,8.09625600206808e-08
T1,1840,NOYAW,9.296376003707933e-08
T1,1860,MPC,4.9298313889646685e-08
T1,1860,NOYAW,4.975998570493829e-08
T1,1880,MPC,1.1619929989717658e-07
T1,1880,NOYAW,8.643338869101636e-08
T1,1900,MPC,5.1193784764193746e-08
T1,1900,NOYAW,7.997117189246142e-08
T1,1920,MPC,4.833628062850977e-08
T1,1920,NOYAW,9.213395287093543e-08
T1,1940,MPC,7.864642937708965e-08
T1,1940,NOYAW,6.662423495932591e-08
T1,1960,MPC,1.0737707896040238e-07
T1,1960,NOYAW,8.863451627067629e-08
T1,1980,MPC,9.28302588031622e-08
T1,1980,NOYAW,7.32522475873133e-08
T1,2000,MPC,6.078548956092431e-08
T1,2000,NOYAW,6.412035315771442e-08
T1,2020,MPC,5.2437086389929264e-08
T1,2020,NOYAW,6.337553716563341e-08
T1,2040,MPC,6.539985572857827e-08
T1,2040,NOYAW,7.410398287437826e-08
T1,2060,MPC,1.0258576979904595e-07
T1,2060,NOYAW,5.640114919026228e-08
T1,2080,MPC,5.3371725469117066e-08
T1,2080,NOYAW,6.067492090607754e-08
T1,2100,MPC,6.655044309508992e-08
T1,2100,NOYAW,7.930124451755799e-08
T1,2120,MPC,8.02744706434552e-08
T1,2120,NOYAW,9.01998869016251e-08
T1,2140,MPC,9.370079723530086e-08
T1,2140,NOYAW,8.688059102920142e-08
T1,2160,MPC,4.6899493729472924e-08
T1,2160,NOYAW,6.280297328463776e-08
T1,2180,MPC,7.315402024494945e-08
T1,2180,NOYAW,4.7123755659117494e-08
T1,2200,MPC,7.670384792740828e-08
T1,2200,NOYAW,5.69399337492773e-08
T1,2220,MPC,1.0957418338261884e-07
T1,2220,NOYAW,1.0339668696838902e-07
T1,2240,MPC,9.652583393129869e-08
T1,2240,NOYAW,5.7526700009378335e-08
T1,2260,MPC,8.395917492492812e-08
T1,2260,NOYAW,8.878460322127326e-08
T1,2280,MPC,8.977474907769519e-08
T1,2280,NOYAW,7.689190306721374e-08
T2,20,MPC,7.28243789593771e-08
T2,20,NOYAW,7.28243789593771e-08
T2,40,MPC,8.101006987469386e-08
T2,40,NOYAW,8.101006987469386e-08
T2,60,MPC,7.304241424168805e-08
T2,60,NOYAW,7.304241424168805e-08
T2,80,MPC,5.8211305564251824e-08
T2,80,NOYAW,5.8211305564251824e-08
T2,100,MPC,7.279745955832432e-08
T2,100,NOYAW,7.279745955832432e-08
T2,120,MPC,1.3509614095442856e-07
T2,120,NOYAW,1.3509614095442856e-07
T2,140,MPC,7.698530965677188e-08
T2,140,NOYAW,7.698530965677188e-08
T2,160,MPC,9.603828794856747e-08
T2,160,NOYAW,9.603828794856747e-08
T2,180,MPC,1.0936169364162613e-07
T2,180,NOYAW,1.0936169364162613e-07
T2,200,MPC,7.882485381849325e-08
T2,200,NOYAW,6.865241382074582e-08
T2,220,MPC,9.325137360691942e-08
T2,220,NOYAW,6.159499673238054e-08
T2,240,MPC,1.0516987357333537e-07
T2,240,NOYAW,6.935213922881943e-08
T2,260,MPC,1.1136355236899224e-07
T2,260,NOYAW,1.0682718258458452e-07
T2,280,MPC,5.894088841400807e-08
T2,280,NOYAW,7.046645501010361e-08
T2,300,MPC,8.687063924637103e-08
T2,300,NOYAW,6.350301583948783e-08
T2,320,MPC,1.0860905286065506e-07
T2,320,NOYAW,6.364646378235516e-08
T2,340,MPC,8.28913071713776e-08
T2,340,NOYAW,8.232621616412686e-08
T2,360,MPC,1.1717050824129273e-07
T2,360,NOYAW,5.0323958533659855e-08
T2,380,MPC,6.397375735449768e-08
T2,380,NOYAW,4.768170154890085e-08
T2,400,MPC,7.96213946791158e-08
T2,400,NOYAW,4.5492487945235586e-08
T2,420,MPC,5.964069831605605e-08
T2,420,NOYAW,8.092703717853444e-08
T2,440,MPC,1.169915041958143e-07
T2,440,NOYAW,8.328998654746222e-08
T2,460,MPC,1.2740233925869866e-07
T2,460,NOYAW,8.914309181175935e-08
T2,480,MPC,6.614774035062864e-08
T2,480,NOYAW,8.651217679769962e-08
T2,500,MPC,1.1405287591647267e-07
T2,500,NOYAW,1.0424715893902276e-07
T2,520,MPC,9.974344916225795e-08
T2,520,NOYAW,5.6943620908755446e-08
