family,time_s,turbine,row,MPC_disk_normal_m_s,NOYAW_disk_normal_m_s,MPC_filtered_disk_m_s,NOYAW_filtered_disk_m_s,delta_filtered_disk_m_s,yaw_deg
T1,0,1,1,4.296562671661377,4.296562671661377,4.321382522583008,4.321382522583008,0.0,0.0
T1,0,2,1,4.926215171813965,4.926215171813965,4.958177089691162,4.958177089691162,0.0,0.0
T1,0,3,1,5.487520217895508,5.487520217895508,5.521661758422852,5.521661758422852,0.0,0.0
T1,0,4,2,3.133822202682495,3.133822202682495,3.133483648300171,3.133483648300171,0.0,0.0
T1,0,5,2,4.479485988616943,4.479485988616943,4.445682048797607,4.445682048797607,0.0,0.0
T1,0,6,2,3.956678628921509,3.956678628921509,3.9765830039978027,3.9765830039978027,0.0,0.0
T1,0,7,3,3.285349130630493,3.285349130630493,3.262498140335083,3.262498140335083,0.0,0.0
T1,0,8,3,3.765244960784912,3.765244960784912,3.7946338653564453,3.7946338653564453,0.0,0.0
T1,0,9,3,4.1007256507873535,4.1007256507873535,4.086198806762695,4.086198806762695,0.0,0.0
T1,20,1,1,4.50654935836792,4.50654935836792,4.497206687927246,4.497206687927246,0.0,0.0
T1,20,2,1,5.28260612487793,5.28260612487793,5.294355392456055,5.294355392456055,0.0,0.0
T1,20,3,1,5.33539342880249,5.33539342880249,5.35460090637207,5.35460090637207,0.0,0.0
T1,20,4,2,2.9229092597961426,2.9229092597961426,2.9083569049835205,2.9083569049835205,0.0,0.0
T1,20,5,2,4.256824493408203,4.256824493408203,4.291230201721191,4.291230201721191,0.0,0.0
T1,20,6,2,3.3758256435394287,3.3758256435394287,3.4023356437683105,3.4023356437683105,0.0,0.0
T1,20,7,3,3.5942814350128174,3.5942814350128174,3.5904150009155273,3.5904150009155273,0.0,0.0
T1,20,8,3,3.9275360107421875,3.9275360107421875,3.924239158630371,3.924239158630371,0.0,0.0
T1,20,9,3,3.62274169921875,3.62274169921875,3.637645959854126,3.637645959854126,0.0,0.0
T1,40,1,1,4.825812816619873,4.825812816619873,4.768735885620117,4.768735885620117,0.0,0.0
T1,40,2,1,4.914834976196289,4.914834976196289,4.923605918884277,4.923605918884277,0.0,0.0
T1,40,3,1,5.334170818328857,5.334170818328857,5.328164577484131,5.328164577484131,0.0,0.0
T1,40,4,2,3.52362322807312,3.52362322807312,3.5271012783050537,3.5271012783050537,0.0,0.0
T1,40,5,2,4.0332207679748535,4.0332207679748535,4.044510841369629,4.044510841369629,0.0,0.0
T1,40,6,2,3.1698482036590576,3.1698482036590576,3.190889358520508,3.190889358520508,0.0,0.0
T1,40,7,3,4.033664703369141,4.033664703369141,4.0399651527404785,4.0399651527404785,0.0,0.0
T1,40,8,3,3.9090516567230225,3.9090516567230225,3.8941617012023926,3.8941617012023926,0.0,0.0
T1,40,9,3,3.847334384918213,3.847334384918213,3.900223731994629,3.900223731994629,0.0,0.0
T1,60,1,1,5.320228099822998,5.320228099822998,5.322149753570557,5.322149753570557,0.0,0.0
T1,60,2,1,5.280916690826416,5.280916690826416,5.226869583129883,5.226869583129883,0.0,0.0
T1,60,3,1,5.33135986328125,5.33135986328125,5.312189102172852,5.312189102172852,0.0,0.0
T1,60,4,2,3.60766339302063,3.60766339302063,3.5820016860961914,3.5820016860961914,0.0,0.0
T1,60,5,2,4.367128372192383,4.367128372192383,4.284313201904297,4.284313201904297,0.0,0.0
T1,60,6,2,3.453366756439209,3.453366756439209,3.386836528778076,3.386836528778076,0.0,0.0
T1,60,7,3,4.313030242919922,4.313030242919922,4.283694267272949,4.283694267272949,0.0,0.0
T1,60,8,3,3.9382567405700684,3.9382567405700684,3.964198112487793,3.964198112487793,0.0,0.0
T1,60,9,3,3.7131738662719727,3.7131738662719727,3.6621041297912598,3.6621041297912598,0.0,0.0
T1,80,1,1,5.056284427642822,5.056284427642822,5.039289474487305,5.039289474487305,0.0,0.0
T1,80,2,1,5.436182498931885,5.436182498931885,5.44602632522583,5.44602632522583,0.0,0.0
T1,80,3,1,5.384655952453613,5.384655952453613,5.405768871307373,5.405768871307373,0.0,0.0
T1,80,4,2,3.404761791229248,3.404761791229248,3.385134696960449,3.385134696960449,0.0,0.0
T1,80,5,2,3.9391326904296875,3.9391326904296875,3.963745594024658,3.963745594024658,0.0,0.0
T1,80,6,2,3.728196144104004,3.728196144104004,3.753566026687622,3.753566026687622,0.0,0.0
T1,80,7,3,4.108753204345703,4.108753204345703,4.111729621887207,4.111729621887207,0.0,0.0
T1,80,8,3,3.7363760471343994,3.7363760471343994,3.7194674015045166,3.7194674015045166,0.0,0.0
T1,80,9,3,3.94735050201416,3.94735050201416,3.954069137573242,3.954069137573242,0.0,0.0
T1,100,1,1,5.190707206726074,5.190707206726074,5.181722640991211,5.181722640991211,0.0,0.0
T1,100,2,1,5.355319976806641,5.355319976806641,5.364259719848633,5.364259719848633,0.0,0.0
T1,100,3,1,5.3621320724487305,5.3621320724487305,5.366477966308594,5.366477966308594,0.0,0.0
T1,100,4,2,4.160039901733398,4.160039901733398,4.165833950042725,4.165833950042725,0.0,0.0
T1,100,5,2,4.052725315093994,4.052725315093994,4.0673980712890625,4.0673980712890625,0.0,0.0
T1,100,6,2,3.5271339416503906,3.5271339416503906,3.5502536296844482,3.5502536296844482,0.0,0.0
T1,100,7,3,3.8057382106781006,3.8057382106781006,3.8223166465759277,3.8223166465759277,0.0,0.0
T1,100,8,3,4.259551525115967,4.259551525115967,4.240245819091797,4.240245819091797,0.0,0.0
T1,100,9,3,3.9832615852355957,3.9832615852355957,3.968048572540283,3.968048572540283,0.0,0.0
