family,forecast_level,arm,time_s,cumulative_net_difference_kwh
T1,ideal,MPC,0,0.0
T1,ideal,MPC,20,0.0
T1,ideal,MPC,40,0.0
T1,ideal,MPC,60,0.0
T1,ideal,MPC,80,0.0
T1,ideal,MPC,100,0.0
T1,ideal,MPC,120,0.0
T1,ideal,MPC,140,0.0
T1,ideal,MPC,160,0.0
T1,ideal,MPC,180,0.0
T1,ideal,MPC,200,-0.7618981784235637
T1,ideal,MPC,220,-0.8551832548124525
T1,ideal,MPC,240,-1.0189226263402302
T1,ideal,MPC,260,-1.2131450499513414
T1,ideal,MPC,280,-1.4220268277291193
T1,ideal,MPC,300,-1.588687015229119
T1,ideal,MPC,320,-1.735701714881897
T1,ideal,MPC,340,-1.5373378919652303
T1,ideal,MPC,360,-1.2271315030763414
T1,ideal,MPC,380,-1.2866958259930081
T1,ideal,MPC,400,-2.4592736856373154
T1,ideal,MPC,420,-2.6500593748734262
T1,ideal,MPC,440,-2.5113341891095375
T1,ideal,MPC,460,-2.2550073766095373
T1,ideal,MPC,480,-2.262087838415093
T1,ideal,MPC,500,-1.7554076439706485
T1,ideal,MPC,520,-2.0837495536928707
T1,ideal,MPC,540,-2.346637258553982
T1,ideal,MPC,560,-0.541626043276204
T1,ideal,MPC,580,-0.3604596682762039
T1,ideal,MPC,600,-2.9309890053588017
T1,ideal,MPC,620,-1.8221482900810242
T1,ideal,MPC,640,1.3316561960300872
T1,ideal,MPC,660,4.661802550196755
T1,ideal,MPC,680,6.336689366168976
T1,ideal,MPC,700,8.254648189085643
T1,ideal,MPC,720,8.008072477280088
T1,ideal,MPC,740,11.46415334186342
T1,ideal,MPC,760,16.27328914394675
T1,ideal,MPC,780,18.9467964008912
T1,ideal,MPC,800,18.16396180589692
T1,ideal,MPC,820,20.370896972563585
T1,ideal,MPC,840,24.144577048952478
T1,ideal,MPC,860,27.500306569785806
T1,ideal,MPC,880,27.680185319785807
T1,ideal,MPC,900,31.085928722563587
T1,ideal,MPC,920,32.53871148124414
T1,ideal,MPC,940,32.510960127077475
T1,ideal,MPC,960,33.1462051774247
T1,ideal,MPC,980,35.199212371869145
T1,ideal,MPC,1000,37.891902521886216
T1,ideal,MPC,1020,38.99323704271954
T1,ideal,MPC,1040,39.00396555313622
T1,ideal,MPC,1060,45.49058488299733
T1,ideal,MPC,1080,54.28051668160844
T1,ideal,MPC,1100,53.820514455914
T1,ideal,MPC,1120,54.69728765209455
T1,ideal,MPC,1140,54.48099658612233
T1,ideal,MPC,1160,55.73778911390011
T1,ideal,MPC,1180,58.742726266677884
T1,ideal,MPC,1200,60.029143770011636
T1,ideal,MPC,1220,62.32533828390052
T1,ideal,MPC,1240,62.58685655126165
T1,ideal,MPC,1260,62.7909076241783
T1,ideal,MPC,1280,61.650229253518575
T1,ideal,MPC,1300,59.502577573831076
T1,ideal,MPC,1320,59.63335450351858
T1,ideal,MPC,1340,59.34091643407414
T1,ideal,MPC,1360,59.489826328171354
T1,ideal,MPC,1380,59.163306914976914
T1,ideal,MPC,1400,57.78037070523056
T1,ideal,MPC,1420,57.32530499950139
T1,ideal,MPC,1440,57.25428660540417
T1,ideal,MPC,1460,58.6951468762375
T1,ideal,MPC,1480,59.27137484151528
T1,ideal,MPC,1500,59.39200719741806
T1,ideal,MPC,1520,60.82208228075139
T1,ideal,MPC,1540,62.45787292137639
T1,ideal,MPC,1560,62.95722281026528
T1,ideal,MPC,1580,63.48040654290418
T1,ideal,MPC,1600,64.46926734470563
T1,ideal,MPC,1620,66.15763771970563
T1,ideal,MPC,1640,67.7840632301223
T1,ideal,MPC,1660,69.70808868151119
T1,ideal,MPC,1680,71.47643268151118
T1,ideal,MPC,1700,71.30078230651118
T1,ideal,MPC,1720,71.42100376484451
T1,ideal,MPC,1740,72.69393160425425
T1,ideal,MPC,1760,74.66382588724035
T1,ideal,MPC,1780,75.84198654001813
