family,decision_time_s,interval,Ux_RMSE_m_s,Uy_RMSE_m_s,Uz_RMSE_m_s
T1,0,delay,0.6616638045466925,0.3729625543383454,0.4764978250214028
T1,0,horizon,1.5223176622479473,0.400043865880763,0.5104538188451767
T1,200,delay,0.6700242879013478,0.3776090559193069,0.4706577943603754
T1,200,horizon,2.0258147050971553,0.44016753273528647,0.5244803358413804
T1,400,delay,1.6333325080049301,0.4217583858608541,0.5220516219048841
T1,400,horizon,2.0826004275775123,0.4432105514415318,0.5682530526974654
T1,600,delay,0.7825139248273683,0.4682545359386427,0.5644937012577219
T1,600,horizon,0.994485962070078,0.474948390576528,0.5993681944630378
T1,800,delay,0.827526916370537,0.4839875922579341,0.6436921596353026
T1,800,horizon,1.6787118888161656,0.4516718853991814,0.5814227950463009
T1,1000,delay,0.7992254063209289,0.46609806873825615,0.6024581982696895
T1,1000,horizon,2.0436494137690344,0.4165833117166532,0.5385329860822544
T1,1200,delay,1.536248493230401,0.40740909889637794,0.49429213546616846
T1,1200,horizon,1.8412264965470668,0.39239278153923074,0.4832721055725505
T1,1400,delay,0.6351273927358815,0.36449349304354833,0.47596100568104016
T1,1400,horizon,0.706570630332914,0.3714196555453034,0.4798712995611182
T1,1600,delay,0.6344995799687425,0.36900740155916795,0.46482983332723427
T1,1600,horizon,0.6868019924185307,0.36974688028228975,0.46973160664413743
T2,0,delay,0.7561872033286073,0.4262429190423324,0.5445689429844535
T2,0,horizon,0.8809154873689984,0.41748077573545916,1.0395161883753734
T2,200,delay,0.7655456053918116,0.43145601709531434,0.5378039117523042
T2,200,horizon,0.8574574404082678,0.4322001637355624,1.3778294965652285
T2,400,delay,0.755205936425158,0.4171417368462934,1.1350867005525718
T2,400,horizon,0.8149986158181564,0.41931370352529973,1.4316037318703356
T2,600,delay,0.687722454969171,0.41622625387781265,0.5124723034442235
T2,600,horizon,0.8207726876362801,0.426115625926127,0.6048720460583191
T2,800,delay,0.7314829974945943,0.4302111931750806,0.5773986411297802
T2,800,horizon,0.9366669948015389,0.4303624780648277,1.0885197760179415
T2,1000,delay,0.7065882583053741,0.4147941714267836,0.541610792570983
T2,1000,horizon,0.8086580792427502,0.4240192457973713,1.4225316710635798
T2,1200,delay,0.7100625006019823,0.42008194595384113,1.0848478353047353
T2,1200,horizon,0.7906901257692107,0.41682237839574526,1.2818304579184887
T2,1400,delay,0.725859876660532,0.41656399188188203,0.5439554349270261
T2,1400,horizon,0.8075092913738715,0.4244796062063964,0.548424342192495
T2,1600,delay,0.7251423745173143,0.42172274459165954,0.5312340951591723
T2,1600,horizon,0.7849165610211976,0.4225678631722432,0.5368361218806293
