family,level,arm,decision_time_s,online_seconds,fallback_reasons
T1,ideal,MPC,0,160.1342248590663,
T1,ideal,MPC,200,159.5869861440733,
T1,ideal,MPC,400,159.58613073825836,
T1,ideal,MPC,600,159.5861010570079,
T1,ideal,MPC,800,159.49431166239083,
T1,ideal,MPC,1000,159.51726202201098,
T1,ideal,MPC,1200,159.5471200477332,
T1,ideal,MPC,1400,159.5561922751367,
T1,ideal,MPC,1600,159.49652695748955,
T1,ideal,lookup,0,0.17914491333067417,
T1,ideal,lookup,200,0.16063700523227453,
T1,ideal,lookup,400,0.14565244875848293,
T1,ideal,lookup,600,0.15299142152071,
T1,ideal,lookup,800,0.1449465649202466,
T1,ideal,lookup,1000,0.15271429624408484,
T1,ideal,lookup,1200,0.14201870746910572,
T1,ideal,lookup,1400,0.14441059343516827,
T1,ideal,lookup,1600,0.15514695085585117,
T1,causal,MPC,0,160.75146901793778,
T1,causal,MPC,200,160.02372943237424,
T1,causal,MPC,400,160.02755482308567,
T1,causal,MPC,600,160.04913177806884,
T1,causal,MPC,800,160.02485855761915,
T1,causal,MPC,1000,159.98914004582912,
T1,causal,MPC,1200,160.00073096621782,
T1,causal,MPC,1400,160.07624909188598,
T1,causal,MPC,1600,160.06083767767996,
T1,causal,lookup,0,0.49403126537799835,
T1,causal,lookup,200,0.46839858312159777,
T1,causal,lookup,400,0.464264920912683,
T1,causal,lookup,600,0.45670052897185087,
T1,causal,lookup,800,0.4641739400103688,
T1,causal,lookup,1000,0.463966878131032,
T1,causal,lookup,1200,0.4560907995328307,
T1,causal,lookup,1400,0.45446902606636286,
T1,causal,lookup,1600,0.4631300074979663,
T2,ideal,MPC,0,160.04830447491258,
T2,ideal,MPC,200,159.48535519000143,
T2,ideal,MPC,400,159.50109170377254,
T2,ideal,MPC,600,159.56171032506973,
T2,ideal,MPC,800,159.57049568835646,
T2,ideal,MPC,1000,159.41636472567916,
T2,ideal,MPC,1200,159.47138729225844,
T2,ideal,MPC,1400,159.48026474099606,
T2,ideal,MPC,1600,159.5146349137649,
T2,ideal,lookup,0,0.17430038005113602,
T2,ideal,lookup,200,0.15123416390269995,
T2,ideal,lookup,400,0.14038973208516836,
T2,ideal,lookup,600,0.1444551981985569,
T2,ideal,lookup,800,0.14069945085793734,
T2,ideal,lookup,1000,0.14048212300986052,
T2,ideal,lookup,1200,0.1397081185132265,
T2,ideal,lookup,1400,0.1405970547348261,
T2,ideal,lookup,1600,0.1403017770498991,
T2,causal,MPC,0,161.11067862156779,
T2,causal,MPC,200,160.4023168189451,
T2,causal,MPC,400,160.44364454597235,
T2,causal,MPC,600,160.3524785861373,
T2,causal,MPC,800,160.4116914588958,
T2,causal,MPC,1000,160.45100806467235,
T2,causal,MPC,1200,160.3221882842481,
T2,causal,MPC,1400,160.38166899140924,
T2,causal,MPC,1600,160.30441704392433,
T2,causal,lookup,0,0.4891908401623368,
T2,causal,lookup,200,0.4589657848700881,
T2,causal,lookup,400,0.4518149187788367,
T2,causal,lookup,600,0.4490413488820195,
T2,causal,lookup,800,0.45114590134471655,
T2,causal,lookup,1000,0.4510237695649266,
T2,causal,lookup,1200,0.46491372492164373,
T2,causal,lookup,1400,0.44947686791419983,
T2,causal,lookup,1600,0.4530169051140547,
