family,forecast_level,arm,streamwise_row,generation_difference_kwh,motion_kwh,net_difference_kwh
T1,ideal,MPC,1,-67.72290349305547,2.6018670002619424,-70.32477049331737
T1,ideal,MPC,2,64.94292725520836,2.1404026216930814,62.80252463351525
T1,ideal,MPC,3,93.60851735416662,0.4113457782400979,93.19717157592652
T1,ideal,lookup,1,-250.58783480902787,1.4062498410542805,-251.99408465008207
T1,ideal,lookup,2,171.98650945225694,0.9375003973642985,171.04900905489262
T1,ideal,lookup,3,215.42249211805557,0.0,215.42249211805557
T1,causal,MPC,1,-27.748034041666642,2.8574788570404053,-30.60551289870716
T1,causal,MPC,2,-17.396321394097185,2.6704940928353205,-20.066815486932512
T1,causal,MPC,3,27.372051995659717,1.1292376559641626,26.242814339695542
T1,causal,lookup,1,-250.5878088923613,1.40625,-251.9940588923613
T1,causal,lookup,2,171.9863244062501,0.9375,171.0488244062501
T1,causal,lookup,3,215.42093055034712,0.0,215.42093055034712
T2,ideal,MPC,1,-22.653297583333256,2.131767941845788,-24.78506552517922
T2,ideal,MPC,2,30.145417638888716,1.90180700023969,28.24361063864899
T2,ideal,MPC,3,60.57553851041666,1.8210786539647312,58.754459856451945
T2,ideal,lookup,1,-276.87849356944423,2.8125001589457193,-279.69099372839
T2,ideal,lookup,2,105.74322791319446,1.875000317891439,103.86822759530287
T2,ideal,lookup,3,158.363312779514,0.0,158.363312779514
T2,causal,MPC,1,-14.17343932986114,2.4714291095733643,-16.644868439434617
T2,causal,MPC,2,0.7405175781251501,2.691906452178955,-1.951388874053805
T2,causal,MPC,3,-18.599823944444438,1.8190252880255384,-20.418849232469938
T2,causal,lookup,1,-269.10656673611084,2.8125001589457193,-271.91906689505663
T2,causal,lookup,2,66.11116118749987,1.875000238418579,64.23616094908118
T2,causal,lookup,3,138.54624661979165,0.0,138.54624661979165
