family,forecast_level,arm,turbine,streamwise_row,generation_kwh,noyaw_kwh,generation_difference_kwh,motion_kwh,net_difference_kwh
T1,ideal,MPC,1,1,1004.7654710555556,1038.0813201527778,-33.31584909722221,0.9832872417238023,-34.29913633894603
T1,ideal,MPC,2,1,891.7010002361112,899.2808939375001,-7.579893701388869,0.9387218687269423,-8.518615570115799
T1,ideal,MPC,3,1,944.9599166770835,971.7870773715279,-26.827160694444387,0.6798578898111979,-27.507018584255547
T1,ideal,MPC,4,2,455.1243858619792,432.1782960668403,22.946089795138903,0.783047788672977,22.1630420064659
T1,ideal,MPC,5,2,403.78885290972227,393.70420007638893,10.084652833333337,0.6127627624405755,9.471890070892755
T1,ideal,MPC,6,2,395.8678021875,363.95561756076387,31.91218462673612,0.7445920705795288,31.167592556156592
T1,ideal,MPC,7,3,544.2305256371528,482.9563842951389,61.274141342013934,0.14763397061162525,61.12650737140228
T1,ideal,MPC,8,3,438.48566644270835,425.90860289670144,12.577063546006912,0.1167069748044014,12.46035657120251
T1,ideal,MPC,9,3,430.3720470833333,410.61473461718754,19.757312466145777,0.14700483282407126,19.610307633321725
T1,ideal,lookup,1,1,945.9784980972222,1038.0813201527778,-92.10282205555563,0.4687499470180935,-92.5715720025737
T1,ideal,lookup,2,1,824.1109026319446,899.2808939375001,-75.16999130555553,0.4687499470180935,-75.6387412525736
T1,ideal,lookup,3,1,888.4720559236112,971.7870773715279,-83.3150214479167,0.4687499470180935,-83.78377139493477
T1,ideal,lookup,4,2,495.38808918836804,432.1782960668403,63.20979312152775,0.31250013245476616,62.89729298907298
T1,ideal,lookup,5,2,428.6002516345486,393.70420007638893,34.896051558159684,0.31250013245476616,34.58355142570491
T1,ideal,lookup,6,2,437.8362823333334,363.95561756076387,73.8806647725695,0.31250013245476616,73.56816464011473
T1,ideal,lookup,7,3,583.1125747517361,482.9563842951389,100.15619045659724,0.0,100.15619045659724
T1,ideal,lookup,8,3,483.26335864409725,425.90860289670144,57.354755747395814,0.0,57.354755747395814
T1,ideal,lookup,9,3,468.52628053125005,410.61473461718754,57.911545914062515,0.0,57.911545914062515
T1,causal,MPC,1,1,1028.6049150069446,1038.0813201527778,-9.476405145833269,0.9511406951480441,-10.427545840981338
T1,causal,MPC,2,1,887.3332878229168,899.2808939375001,-11.947606114583323,0.9421032269795736,-12.889709341562934
T1,causal,MPC,3,1,965.4630545902778,971.7870773715279,-6.324022781250051,0.9642349349127876,-7.288257716162889
T1,causal,MPC,4,2,415.05957092013887,432.1782960668403,-17.118725146701422,0.8602326446109347,-17.978957791312382
T1,causal,MPC,5,2,398.0965287595487,393.70420007638893,4.392328683159747,0.9419853157467313,3.4503433674130406
T1,causal,MPC,6,2,359.28569263020836,363.95561756076387,-4.66992493055551,0.8682761324776543,-5.538201063033171
T1,causal,MPC,7,3,498.8487841857639,482.9563842951389,15.892399890625029,0.27700793825917774,15.615391952365826
T1,causal,MPC,8,3,435.3954673177083,425.90860289670144,9.486864421006885,0.47763325770696,9.009231163299944
T1,causal,MPC,9,3,412.60752230121534,410.61473461718754,1.9927876840278032,0.3745964599980248,1.618191224029772
T1,causal,lookup,1,1,945.9785138541666,1038.0813201527778,-92.1028062986112,0.46875,-92.5715562986112
T1,causal,lookup,2,1,824.1109092291667,899.2808939375001,-75.16998470833335,0.46875,-75.63873470833335
T1,causal,lookup,3,1,888.4720594861111,971.7870773715279,-83.31501788541675,0.46875,-83.78376788541675
T1,causal,lookup,4,2,495.3880853107639,432.1782960668403,63.20978924392364,0.3125,62.89728924392364
T1,causal,lookup,5,2,428.6002094305556,393.70420007638893,34.896009354166665,0.3125,34.583509354166665
T1,causal,lookup,6,2,437.8361433689237,363.95561756076387,73.8805258081598,0.3125,73.5680258081598
T1,causal,lookup,7,3,583.1118831284722,482.9563842951389,100.1554988333333,0.0,100.1554988333333
T1,causal,lookup,8,3,483.26295172743056,425.90860289670144,57.35434883072912,0.0,57.35434883072912
T1,causal,lookup,9,3,468.52581750347224,410.61473461718754,57.9110828862847,0.0,57.9110828862847
T2,ideal,MPC,1,1,1100.4479399930556,1106.7881329722222,-6.340192979166659,0.6855445305506388,-7.0257375097173735
T2,ideal,MPC,2,1,932.3386359583334,937.7409027048611,-5.402266746527744,0.6669762598143684,-6.0692430063421625
T2,ideal,MPC,3,1,1062.5389475833333,1073.4497854409722,-10.910837857638853,0.7792471514807807,-11.690085009119684
T2,ideal,MPC,4,2,712.6922296840278,710.8640272552084,1.8282024288193952,0.7577796777089437,1.0704227511104136
T2,ideal,MPC,5,2,529.6762244982639,515.9816590260417,13.694565472222166,0.6477511260244582,13.04681434619772
T2,ideal,MPC,6,2,648.4819754166666,633.8593256788195,14.622649737847155,0.4962761965062883,14.126373541340854
T2,ideal,MPC,7,3,754.4078111961805,734.4479651753473,19.959846020833197,0.6353421211242676,19.32450389970893
T2,ideal,MPC,8,3,619.8534024947918,603.9555455642361,15.89785693055569,0.5991904967361026,15.298666433819562
T2,ideal,MPC,9,3,691.3696799444444,666.6518443854167,24.717835559027776,0.5865460361043612,24.131289522923453
T2,ideal,lookup,1,1,1008.4367572013889,1106.7881329722222,-98.35137577083333,0.9375000529819064,-99.28887582381526
T2,ideal,lookup,2,1,856.2320079131945,937.7409027048611,-81.50889479166665,0.9375000529819064,-82.44639484464858
T2,ideal,lookup,3,1,976.4315624340279,1073.4497854409722,-97.01822300694425,0.9375000529819064,-97.95572305992619
T2,ideal,lookup,4,2,733.8307759218751,710.8640272552084,22.966748666666717,0.625000105963813,22.341748560702854
T2,ideal,lookup,5,2,548.5037639357639,515.9816590260417,32.5221049097222,0.625000105963813,31.89710480375834
T2,ideal,lookup,6,2,684.113700015625,633.8593256788195,50.25437433680554,0.625000105963813,49.62937423084168
T2,ideal,lookup,7,3,779.7933063802084,734.4479651753473,45.34534120486103,0.0,45.34534120486103
T2,ideal,lookup,8,3,651.0308862274306,603.9555455642361,47.07534066319454,0.0,47.07534066319454
T2,ideal,lookup,9,3,732.5944752968751,666.6518443854167,65.94263091145842,0.0,65.94263091145842
T2,causal,MPC,1,1,1103.3283150625,1106.7881329722222,-3.459817909722233,0.9432997041278415,-4.4031176138501
T2,causal,MPC,2,1,934.9408674826389,937.7409027048611,-2.8000352222222773,0.7975174453523424,-3.5975526675746323
T2,causal,MPC,3,1,1065.5361992430555,1073.4497854409722,-7.913586197916629,0.7306119600931803,-8.644198158009885
T2,causal,MPC,4,2,708.2850729722223,710.8640272552084,-2.5789542829860466,0.9558287196689181,-3.53478300265499
T2,causal,MPC,5,2,520.4388634809028,515.9816590260417,4.457204454861085,0.962264272901747,3.4949401819593504
T2,causal,MPC,6,2,632.7215930850696,633.8593256788195,-1.137732593749888,0.77381345960829,-1.9115460533581654
T2,causal,MPC,7,3,716.2878666909722,734.4479651753473,-18.160098484375112,0.5034056074089475,-18.663504091784034
T2,causal,MPC,8,3,603.3826120034722,603.9555455642361,-0.5729335607638859,0.7125400437249078,-1.2854736044887431
T2,causal,MPC,9,3,666.7850524861112,666.6518443854167,0.13320810069456002,0.603079636891683,-0.4698715361971608
T2,causal,lookup,1,1,1007.2785422604168,1106.7881329722222,-99.50959071180546,0.9375000529819064,-100.44709076478739
T2,causal,lookup,2,1,857.8833400034723,937.7409027048611,-79.85756270138882,0.9375000529819064,-80.79506275437075
T2,causal,lookup,3,1,983.7103721180556,1073.4497854409722,-89.73941332291656,0.9375000529819064,-90.6769133758985
T2,causal,lookup,4,2,719.5667602829861,710.8640272552084,8.702733027777754,0.6250000794728597,8.077732948304856
T2,causal,lookup,5,2,539.8272155121527,515.9816590260417,23.845556486111036,0.6250000794728597,23.22055640663814
T2,causal,lookup,6,2,667.4221973524305,633.8593256788195,33.562871673611085,0.6250000794728597,32.93787159413819
T2,causal,lookup,7,3,780.0541016493056,734.4479651753473,45.60613647395826,0.0,45.60613647395826
T2,causal,lookup,8,3,644.0193790520833,603.9555455642361,40.063833487847205,0.0,40.063833487847205
T2,causal,lookup,9,3,719.5281210434028,666.6518443854167,52.87627665798618,0.0,52.87627665798618
