scenario,issue_s,inlet,action,window_s,gross_kwh,yaw_kwh,net_kwh,travel_deg,band_kwh
T1,400,F2,q0,480,879.696308999132,0.0,879.696308999132,0.0,0.00879796308999132
T1,400,F2,q0,200,407.4685886145833,0.0,407.4685886145833,0.0,0.004075685886145834
T1,400,F2,q1,480,905.5109601414931,0.8074241429567337,904.7035359985364,29.067269146442413,0.009056109601414931
T1,400,F2,q1,200,410.11165447395837,0.8074241429567337,409.30423033100163,29.067269146442413,0.0041021165447395844
T1,400,truth,q0,480,1809.4413818663195,0.0,1809.4413818663195,0.0,0.018095413818663197
T1,400,truth,q0,200,771.708317701389,0.0,771.708317701389,0.0,0.00771808317701389
T1,400,truth,q1,480,1810.1458812083335,0.8074241429567337,1809.3384570653768,29.067269146442413,0.018102458812083336
T1,400,truth,q1,200,770.1388485833334,0.8074241429567337,769.3314244403766,29.067269146442413,0.007702388485833335
T1,1200,F2,q0,480,946.8212407630209,0.0,946.8212407630209,0.0,0.009469212407630209
T1,1200,F2,q0,200,441.2923773810764,0.0,441.2923773810764,0.0,0.004413923773810765
T1,1200,F2,q1,480,981.0799337786459,0.8785983036375709,980.2013354750084,31.62953893095255,0.00981179933778646
T1,1200,F2,q1,200,443.1805148081597,0.8785983036375709,442.3019165045222,31.62953893095255,0.004432805148081598
T1,1200,truth,q0,480,768.4076177968751,0.0,768.4076177968751,0.0,0.007685076177968752
T1,1200,truth,q0,200,325.4619842612847,0.0,325.4619842612847,0.0,0.0032556198426128475
T1,1200,truth,q1,480,767.5986038411459,0.8785983036375709,766.7200055375083,31.62953893095255,0.007676986038411459
T1,1200,truth,q1,200,325.00515492968754,0.8785983036375709,324.12655662605,31.62953893095255,0.003251051549296876
T2,400,F2,q0,480,1159.534418324219,0.0,1159.534418324219,0.0,0.011596344183242189
T2,400,F2,q0,200,530.2161271250001,0.0,530.2161271250001,0.0,0.0053031612712500014
T2,400,F2,q1,480,1194.8487855659723,0.8013478327128623,1194.0474377332594,28.84852197766304,0.011949487855659724
T2,400,F2,q1,200,533.3169332118056,0.8013478327128623,532.5155853790927,28.84852197766304,0.005334169332118057
T2,400,truth,q0,480,1903.863708109375,0.0,1903.863708109375,0.0,0.01903963708109375
T2,400,truth,q0,200,768.7823905190972,0.0,768.7823905190972,0.0,0.007688823905190973
T2,400,truth,q1,480,1888.6425336684028,0.8013478327128623,1887.8411858356899,28.84852197766304,0.01888742533668403
T2,400,truth,q1,200,759.7941013142362,0.8013478327128623,758.9927534815233,28.84852197766304,0.007598941013142363
T2,1200,F2,q0,480,1311.64075953125,0.0,1311.64075953125,0.0,0.013117407595312502
T2,1200,F2,q0,200,578.1546711197917,0.0,578.1546711197917,0.0,0.005782546711197918
T2,1200,F2,q1,480,1363.2670865225693,0.7646301090717316,1362.5024564134976,27.526683926582336,0.013633670865225694
T2,1200,F2,q1,200,582.0919712395834,0.7646301090717316,581.3273411305116,27.526683926582336,0.005821919712395834
T2,1200,truth,q0,480,1220.542364861111,0.0,1220.542364861111,0.0,0.01220642364861111
T2,1200,truth,q0,200,553.5642108750001,0.0,553.5642108750001,0.0,0.005536642108750002
T2,1200,truth,q1,480,1221.0392618628473,0.7646301090717316,1220.2746317537756,27.526683926582336,0.012211392618628473
T2,1200,truth,q1,200,553.7653919895833,0.7646301090717316,553.0007618805116,27.526683926582336,0.005538653919895834
