run,exit_code,gpu_uuid,seconds,disposition
E0_ALL_0000,0,,26.414035,completed
E1Q_T1_0400,0,GPU-9a275e68-a720-50ba-287d-2987c1a05933,25.48258,completed
E1Q_T1_1200,0,GPU-0e2c9b88-eae2-4d10-5af0-75092410e4dd,25.392731,completed
E1Q_T2_0400,0,GPU-f18ca2e7-5478-e8bf-35e6-136aec2436f1,25.482296,completed
E1Q_T2_1200,0,GPU-9a275e68-a720-50ba-287d-2987c1a05933,25.884977,completed
E1R_T1_0400,0,GPU-9a275e68-a720-50ba-287d-2987c1a05933,71.091661,completed
E1R_T1_1200,0,GPU-9a275e68-a720-50ba-287d-2987c1a05933,71.21837,completed
E1R_T2_0400,0,GPU-0e2c9b88-eae2-4d10-5af0-75092410e4dd,71.056622,completed
E1R_T2_1200,0,GPU-f18ca2e7-5478-e8bf-35e6-136aec2436f1,71.167427,completed
E2C_BOTH_ALL_0000,0,,3.645597,completed
E2Q_FULL_T1_0000,143,GPU-9a275e68-a720-50ba-287d-2987c1a05933,195.143701,cancelled_after_comparator_failure
E2Q_FULL_T2_0000,143,GPU-0e2c9b88-eae2-4d10-5af0-75092410e4dd,193.925629,cancelled_after_comparator_failure
E2Q_INSTANT_T1_0000,1,GPU-f18ca2e7-5478-e8bf-35e6-136aec2436f1,41.84323,qualification_failed
E2Q_INSTANT_T2,,,,not_launched_after_qualification_failure
E2R_FULL_T1,,,,not_launched_after_qualification_failure
E2R_FULL_T2,,,,not_launched_after_qualification_failure
E2R_INSTANT_T1,,,,not_launched_after_qualification_failure
E2R_INSTANT_T2,,,,not_launched_after_qualification_failure
