group,root,family,mpc_net_kwh,lookup_net_kwh,noyaw_kwh,delta_noyaw_kwh,gain_noyaw_percent,delta_lookup_kwh,gain_lookup_percent
original_exact,OC-73090801,T1,5503.516965612339,5552.380060498264,5417.772648840278,85.74431677206121,1.5826488546066166,-48.86309488592542,-0.8800387285005217
original_exact,OC-73090801,T2,7045.622002686415,6965.3383786753475,6982.919066376737,62.70293630967808,0.8979473442789461,80.28362401106733,1.1526162785839487
original_exact,OC-73090802,T1,5544.598585231399,5530.809628095486,5464.9531231267365,79.64546210466233,1.4573860069836009,13.788957135912824,0.2493117294413368
original_exact,OC-73090802,T2,6957.120547346187,6872.234710598958,6873.971574090278,83.14897325590846,1.2096205571945886,84.8858367472285,1.2351999068994277
original_exact,OC-73090803,T1,5394.581506829615,5462.820887718751,5347.566673059896,47.01483376971919,0.879181815657796,-68.23938088913565,-1.2491601370740182
original_exact,OC-73090803,T2,7025.415301897805,6875.237462024306,6969.184470836806,56.23083106099875,0.8068495144059085,150.17783987349867,2.1843294970248364
original_exact,OC-73090804,T1,5614.577507414453,5636.441449740451,5545.732280914063,68.8452265003898,1.241409123504291,-21.863942325998323,-0.38790329893349856
original_exact,OC-73090804,T2,7055.163162962579,6962.858618723958,6980.41847428125,74.74468868132863,1.0707766154238314,92.30454423862102,1.3256702353599867
original_exact,OC-73090805,T1,5426.74477591093,5353.010729554688,5321.268613516493,105.47616239443687,1.9821619627792908,73.73404635624229,1.377431320082113
original_exact,OC-73090805,T2,6782.582321460881,6670.543923734375,6735.2142743420145,47.36804711886634,0.7032893860454631,112.03839772650554,1.6795991302577766
original_exact,OC-73090806,T1,5224.031850503129,5194.821198945312,5171.473301261285,52.55854924184405,1.0163167472802266,29.210651557817073,0.562303310145643
original_exact,OC-73090806,T2,6839.575087898913,6734.39751564757,6791.682378918403,47.89270898051018,0.7051670898093035,105.17757225134301,1.561796315215427
new_ideal,SC-74121201,T1,5559.564182786066,5590.3211565883585,5518.609479634549,40.954703151517606,0.7421199724795474,-30.756973802292123,-0.550182591317569
new_ideal,SC-74121201,T2,7075.0339325297355,6900.6311561877055,7005.357982032987,69.67595049674856,0.9946094214663999,174.40277634202994,2.527345287621195
new_causal,SC-74121201,T2,6976.465303980535,6855.962077583538,7005.357982032987,-28.89267805245163,-0.4124368537133179,120.50322639699698,1.7576413788955745
new_ideal,SC-74121202,T1,5544.402105202751,5583.613878669957,5496.754286276042,47.64781892670908,0.8668355259334263,-39.2117734672056,-0.7022651336439839
new_causal,SC-74121202,T1,5471.269786664122,5583.613932388021,5496.754286276042,-25.48449961192,-0.4636281391647455,-112.34414572389869,-2.0120328354408796
new_ideal,SC-74121202,T2,7030.961921838918,6937.203924726768,6970.230974712674,60.730947126244246,0.8712903108457993,93.7579971121504,1.3515243047413112
new_causal,SC-74121202,T2,6913.695361095519,6872.991690001073,6970.230974712674,-56.53561361715492,-0.8111010068713745,40.70367109444578,0.5922263976204433
new_ideal,SC-74121203,T1,5564.398298528191,5624.7926481212535,5480.564401238716,83.83389728947532,1.5296581000038463,-60.39434959306254,-1.073716906048705
new_causal,SC-74121203,T1,5430.15831430614,5624.792467987848,5480.564401238716,-50.40608693257582,-0.9197243795033783,-194.63415368170809,-3.460290398079956
new_ideal,SC-74121203,T2,7151.3745444172555,6958.1255042224275,7100.937753092015,50.43679132524085,0.7102835298517971,193.249040194828,2.777314667255684
new_causal,SC-74121203,T2,7090.631093137725,6902.08641344465,7100.937753092015,-10.306659954289898,-0.14514505425430596,188.5446796930746,2.7317055800084793
