configuration,step_deg,AD_MW_per_deg,FD_MW_per_deg,absolute_error_MW_per_deg,relative_error_percent,required,passes,statistical_unit
default FP32,0.01,0.0025510555133223534,0.0035422323668932165,0.0009911768535708632,27.981700546658207,False,False,one delayed state; fixed-step diagnostic
default FP32,0.03,0.0025510555133223534,0.0023980172428217372,0.00015303827050061614,5.999017649808317,True,False,one delayed state; fixed-step diagnostic
default FP32,0.1,0.0025510555133223534,0.0024725052781349177,7.855023518743565e-05,3.0791268467982564,True,True,one delayed state; fixed-step diagnostic
default FP32,0.3,0.0025510555133223534,0.0025051314219837195,4.5924091338633843e-05,1.8001996075273505,True,True,one delayed state; fixed-step diagnostic
highest FP32 products,0.01,0.002514100167900324,0.0023671386168544473,0.0001469615510458766,5.845493068345524,False,False,one delayed state; fixed-step diagnostic
highest FP32 products,0.03,0.002514100167900324,0.0024990864702682343,1.5013697632089602e-05,0.5971797712669676,True,True,one delayed state; fixed-step diagnostic
highest FP32 products,0.1,0.002514100167900324,0.002514005896623317,9.427127700689653e-08,0.0037497025063097677,True,True,one delayed state; fixed-step diagnostic
highest FP32 products,0.3,0.002514100167900324,0.002511461011828568,2.6391560717558063e-06,0.1049741814368488,True,True,one delayed state; fixed-step diagnostic
native FP64,0.01,0.0025194669641790605,0.0025194589942323375,7.969946722984761e-09,0.0003163346388858755,False,True,one delayed state; fixed-step diagnostic
native FP64,0.03,0.0025194669641790605,0.00251974719607991,2.8023190084928984e-07,0.01112142921659998,True,True,one delayed state; fixed-step diagnostic
native FP64,0.1,0.0025194669641790605,0.0025202073569641215,7.403927850609289e-07,0.029378248699060097,True,True,one delayed state; fixed-step diagnostic
native FP64,0.3,0.0025194669641790605,0.002520143846232633,6.768820535723447e-07,0.026858865797847877,True,True,one delayed state; fixed-step diagnostic
