comparator,sd_scenario,sd_pp,assumed_effect_pp,marginal_power,required_roots,actual_power
zero,sample_sd,0.21170448032691733,0.25,0.8,7,0.8651200809454367
zero,sample_sd,0.21170448032691733,0.25,0.9,8,0.911558325471151
zero,sample_sd,0.21170448032691733,0.5,0.8,3,0.8164180990700904
zero,sample_sd,0.21170448032691733,0.5,0.9,4,0.966130083395222
zero,sample_sd,0.21170448032691733,1.0,0.8,3,0.9984419200563418
zero,sample_sd,0.21170448032691733,1.0,0.9,3,0.9984419200563418
zero,upper90_sd_normal_assumption,0.3730444454412467,0.25,0.8,16,0.819089475808942
zero,upper90_sd_normal_assumption,0.3730444454412467,0.25,0.9,21,0.9065492701568281
zero,upper90_sd_normal_assumption,0.3730444454412467,0.5,0.8,6,0.8765354683832981
zero,upper90_sd_normal_assumption,0.3730444454412467,0.5,0.9,7,0.9289407759971823
zero,upper90_sd_normal_assumption,0.3730444454412467,1.0,0.8,3,0.8839031965029058
zero,upper90_sd_normal_assumption,0.3730444454412467,1.0,0.9,4,0.9879710479976339
lookup,sample_sd,0.45526902026498506,0.25,0.8,22,0.8013338023544527
lookup,sample_sd,0.45526902026498506,0.25,0.9,30,0.901736053068888
lookup,sample_sd,0.45526902026498506,0.5,0.8,7,0.8196859548253466
lookup,sample_sd,0.45526902026498506,0.5,0.9,9,0.9122074293568132
lookup,sample_sd,0.45526902026498506,1.0,0.8,4,0.9453722217373757
lookup,sample_sd,0.45526902026498506,1.0,0.9,4,0.9453722217373757
lookup,upper90_sd_normal_assumption,0.8022294990123419,0.25,0.8,66,0.8052041293196384
lookup,upper90_sd_normal_assumption,0.8022294990123419,0.25,0.9,90,0.9012924382572501
lookup,upper90_sd_normal_assumption,0.8022294990123419,0.5,0.8,18,0.8137839991891233
lookup,upper90_sd_normal_assumption,0.8022294990123419,0.5,0.9,24,0.9060451351360116
lookup,upper90_sd_normal_assumption,0.8022294990123419,1.0,0.8,6,0.8330040842709419
lookup,upper90_sd_normal_assumption,0.8022294990123419,1.0,0.9,8,0.9350723090696422
