scenario,issue_s,inlet,action,window_s,gross_kwh,yaw_kwh,net_kwh,band_kwh
T1,400,FF,q0,200,407.4685886145833,0.0,407.4685886145833,0.004075685886145834
T1,400,FF,q0,480,879.6963089991319,0.0,879.6963089991319,0.008797963089991319
T1,400,FF,q1,200,410.1116544739583,0.8074241429567337,409.3042303310016,0.004102116544739584
T1,400,FF,q1,480,905.510960141493,0.8074241429567337,904.7035359985363,0.00905610960141493
T1,400,TT,q0,200,771.7083177013889,0.0,771.7083177013889,0.007718083177013889
T1,400,TT,q0,480,1809.4413818663195,0.0,1809.4413818663195,0.018095413818663197
T1,400,TT,q1,200,770.1388485833334,0.8074241429567337,769.3314244403766,0.007702388485833335
T1,400,TT,q1,480,1810.1458812083333,0.8074241429567337,1809.3384570653766,0.018102458812083336
T1,400,TF,q0,200,699.0187278854166,0.0,699.0187278854166,0.0069911872788541675
T1,400,TF,q0,480,1667.2244721840277,0.0,1667.2244721840277,0.01667324472184028
T1,400,TF,q1,200,703.438922828125,0.8074241429567337,702.6314986851683,0.00703538922828125
T1,400,TF,q1,480,1673.0290151684028,0.8074241429567337,1672.221591025446,0.01673129015168403
T1,400,FT,q0,200,438.1562815902778,0.0,438.1562815902778,0.004382562815902778
T1,400,FT,q0,480,1006.3568628177084,0.0,1006.3568628177084,0.010064568628177084
T1,400,FT,q1,200,437.9882357239583,0.8074241429567337,437.1808115810016,0.004380882357239583
T1,400,FT,q1,480,1002.4664083663195,0.8074241429567337,1001.6589842233627,0.010025664083663195
T1,1200,FF,q0,200,441.2923773810764,0.0,441.2923773810764,0.004413923773810765
T1,1200,FF,q0,480,946.8212407630208,0.0,946.8212407630208,0.009469212407630209
T1,1200,FF,q1,200,443.1805148081597,0.8785983036375709,442.3019165045222,0.004432805148081598
T1,1200,FF,q1,480,981.0799337786458,0.8785983036375709,980.2013354750082,0.009811799337786458
T1,1200,TT,q0,200,325.4619842612847,0.0,325.4619842612847,0.0032556198426128475
T1,1200,TT,q0,480,768.407617796875,0.0,768.407617796875,0.007685076177968751
T1,1200,TT,q1,200,325.0051549296875,0.8785983036375709,324.12655662604993,0.0032510515492968754
T1,1200,TT,q1,480,767.5986038411459,0.8785983036375709,766.7200055375083,0.007676986038411459
T1,1200,TF,q0,200,277.9845439079861,0.0,277.9845439079861,0.0027808454390798616
T1,1200,TF,q0,480,658.1651184275173,0.0,658.1651184275173,0.006582651184275174
T1,1200,TF,q1,200,278.85158541145836,0.8785983036375709,277.9729871078208,0.002789515854114584
T1,1200,TF,q1,480,669.4924892109375,0.8785983036375709,668.6138909073,0.006695924892109376
T1,1200,FT,q0,200,525.8797794322917,0.0,525.8797794322917,0.005259797794322917
T1,1200,FT,q0,480,1234.6267186909722,0.0,1234.6267186909722,0.012347267186909722
T1,1200,FT,q1,200,525.4543695694445,0.8785983036375709,524.5757712658069,0.005255543695694445
T1,1200,FT,q1,480,1238.2221743993055,0.8785983036375709,1237.343576095668,0.012383221743993054
T2,400,FF,q0,200,530.216127125,0.0,530.216127125,0.005303161271250001
T2,400,FF,q0,480,1159.5344183242187,0.0,1159.5344183242187,0.011596344183242187
T2,400,FF,q1,200,533.3169332118056,0.8013478327128623,532.5155853790927,0.005334169332118057
T2,400,FF,q1,480,1194.8487855659723,0.8013478327128623,1194.0474377332594,0.011949487855659724
T2,400,TT,q0,200,768.7823905190972,0.0,768.7823905190972,0.007688823905190973
T2,400,TT,q0,480,1903.863708109375,0.0,1903.863708109375,0.01903963708109375
T2,400,TT,q1,200,759.7941013142361,0.8013478327128623,758.9927534815232,0.007598941013142361
T2,400,TT,q1,480,1888.6425336684028,0.8013478327128623,1887.8411858356899,0.01888742533668403
T2,400,TF,q0,200,682.0585579930555,0.0,682.0585579930555,0.006821585579930556
T2,400,TF,q0,480,1719.2412755798612,0.0,1719.2412755798612,0.017193412755798613
T2,400,TF,q1,200,675.9368321979167,0.8013478327128623,675.1354843652039,0.006760368321979168
T2,400,TF,q1,480,1714.3175421354167,0.8013478327128623,1713.5161943027038,0.017144175421354168
T2,400,FT,q0,200,562.534339609375,0.0,562.534339609375,0.0056263433960937505
T2,400,FT,q0,480,1293.2843848940972,0.0,1293.2843848940972,0.012933843848940972
T2,400,FT,q1,200,561.3895641493056,0.8013478327128623,560.5882163165927,0.0056148956414930565
T2,400,FT,q1,480,1297.2455917100694,0.8013478327128623,1296.4442438773565,0.012973455917100694
T2,1200,FF,q0,200,578.1546711197917,0.0,578.1546711197917,0.005782546711197918
T2,1200,FF,q0,480,1311.64075953125,0.0,1311.64075953125,0.013117407595312502
T2,1200,FF,q1,200,582.0919712395834,0.7646301090717316,581.3273411305116,0.005821919712395834
T2,1200,FF,q1,480,1363.2670865225693,0.7646301090717316,1362.5024564134976,0.013633670865225694
T2,1200,TT,q0,200,553.564210875,0.0,553.564210875,0.00553664210875
T2,1200,TT,q0,480,1220.542364861111,0.0,1220.542364861111,0.01220642364861111
T2,1200,TT,q1,200,553.7653919895833,0.7646301090717316,553.0007618805116,0.005538653919895834
T2,1200,TT,q1,480,1221.0392618628473,0.7646301090717316,1220.2746317537756,0.012211392618628473
T2,1200,TF,q0,200,472.9130400824653,0.0,472.9130400824653,0.004730130400824653
T2,1200,TF,q0,480,1022.2531329166667,0.0,1022.2531329166667,0.010223531329166667
T2,1200,TF,q1,200,472.9495210651042,0.7646301090717316,472.18489095603246,0.004730495210651042
T2,1200,TF,q1,480,1017.9551203567709,0.7646301090717316,1017.1904902476991,0.010180551203567709
T2,1200,FT,q0,200,686.9846199965277,0.0,686.9846199965277,0.006870846199965278
T2,1200,FT,q0,480,1653.515728890625,0.0,1653.515728890625,0.016536157288906252
T2,1200,FT,q1,200,687.8008636006945,0.7646301090717316,687.0362334916227,0.006879008636006946
T2,1200,FT,q1,480,1678.5858473038195,0.7646301090717316,1677.8212171947478,0.016786858473038197
